Jurisdiction,FacilityID,ObsRecordDate,FlowCondition,PersistentFlow,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,OCFSLocation,MaintenanceIssue,FlowConnectivity,PointY,PointX
Laguna Niguel,J03-9215-3,7/8/2022,Flowing,Yes,Priority,51,,0.017647,,Below Average Discharge,Not present,Not present,L/R: 0.01? same velocity,Moderate (11-50 Items),In flow path of outfall,,,Graffiti,Direct Connection,33.53410231,-117.7015748
Laguna Niguel,J03-9215-3,7/8/2022,Flowing,Yes,Priority,51,,0.018,0.238,Below Average Discharge,,,SWN meter inspected,,,,,,,33.53410231,-117.7015748
Laguna Niguel,J03-9215-3,8/4/2022,Flowing,Yes,Priority,51,,0.026,0.008,Below Average Discharge,,,,,,,,,,33.53410231,-117.7015748
Laguna Niguel,J03-9215-3,8/4/2022,Flowing,Yes,Priority,51,6764,0.025993,,Below Average Discharge,Not present,Yellow tint,,Not Present (0 Items),,,,Graffiti,Direct Connection,33.53410231,-117.7015748
Laguna Niguel,J03-9216-1 (J03P01),7/6/2022,Pooled or Ponded,Yes,Priority,43,,,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.5307754,-117.7082473
Laguna Niguel,J03-9216-1 (J03P01),7/8/2022,Flowing,Yes,Priority,43,,,,Below Average Discharge,Not present,Not present,125ml/5s,Not Present (0 Items),,,,,Direct Connection,33.5307754,-117.7082473
Laguna Niguel,J03-9216-1 (J03P01),8/4/2022,Pooled or Ponded,Yes,Priority,43,,,,Below Average Discharge,Clear,Not present,,Not Present (0 Items),,,,,Direct Connection,33.5307754,-117.7082473
Laguna Niguel,J03-9216-2,8/4/2022,Flowing,Yes,Priority,74,4009,2.93494,,Below Average Discharge,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,Yes,None,Partial - Significant Distance,33.5280069,-117.7100766
Laguna Niguel,J03-9216-2,8/8/2022,Flowing,Yes,Priority,74,,0.4,,Below Average Discharge,Not present,Not present,Flow measurement with P2939 Flow Tracker; .4 cfs,Moderate (11-50 Items),In flow path of outfall,,Yes,,Partial - Significant Distance,33.5280069,-117.7100766
Laguna Niguel,J03-9216-5,8/4/2022,Pooled or Ponded,Yes,,,,,,,"Brown ""tea"" tint",Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,Partial - Significant Distance,33.5281727,-117.7097701
Laguna Niguel,J03-9221-1 (J03P02),6/15/2022,Flowing,Yes,Priority,47,,,0.049,Below Average Discharge,,,,,,Yes,Yes,,,33.54994727,-117.7171712
Laguna Niguel,J03-9221-1 (J03P02),6/15/2022,Flowing,Yes,Priority,47,5136,0.032,,Below Average Discharge,Not present,Green tint,"Loose vegetation covering conductivity sensor, turbidity 2.19",Sparse (<10 Items),In flow path of outfall,Yes,Yes,Clogged,Undetermined,33.54994727,-117.7171712
Laguna Niguel,J03-9221-1 (J03P02),7/8/2022,Flowing,Yes,Priority,47,,0.089856,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,Yes,Yes,,Unsafe to Access,33.54994727,-117.7171712
Laguna Niguel,J03-9221-1 (J03P02),7/8/2022,Flowing,Yes,Priority,47,,0.091,0.708,Below Average Discharge,,,SWN meter inspected,,,Yes,Yes,,,33.54994727,-117.7171712
Laguna Niguel,J03-9221-1 (J03P02),8/18/2022,Flowing,Yes,Priority,47,,,0.03,Below Average Discharge,,,,,,Yes,Yes,,,33.54994727,-117.7171712
Laguna Niguel,J03-9221-1 (J03P02),8/18/2022,Flowing,Yes,Priority,47,5030,0.158257,,Below Average Discharge,Not present,"Brown ""tea"" tint","Depth: Middle: 0.08, Right:0.03, Left:  0.04 Avg: 0.05   Width 1.15  Sec: Middle 2.18 sec Right 2.16 Left 2.20  Avg:2.18 sec / 6ft  Volumetric:   2700ml in 3 sec 2625 ml 3 sec 2250 ml 3sec  Avg: 2525 ml/3sec",Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,None,Undetermined,33.54994727,-117.7171712
Laguna Niguel,J03-9234-5,7/6/2022,Flowing,Yes,Not A Priority,,6248,,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.51976015,-117.7070197
Laguna Niguel,J03-9234-5,8/31/2022,Pooled or Ponded,Yes,Not A Priority,,,,,Below Average Discharge,Clear,,,Not Present (0 Items),,,,Overgrown,,33.51976015,-117.7070197
Laguna Niguel,J03-9234-6,7/6/2022,Flowing,Yes,Priority,32,5413,0.07619,,Below Average Discharge,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,,Graffiti,Partial - Significant Distance,33.5196409,-117.7065275
Laguna Niguel,J03-9234-6,7/8/2022,Flowing,Yes,Priority,32,,0.1248,,Below Average Discharge,Not present,Not present,Weird tube is the SWN conductivity meter,Moderate (11-50 Items),In flow path of outfall,,,Graffiti,Partial - Significant Distance,33.5196409,-117.7065275
Laguna Niguel,J03-9234-6,7/8/2022,Flowing,Yes,Priority,32,,0.126,0.16,Below Average Discharge,,,SWN sensor inspected.,,,,,,,33.5196409,-117.7065275
Laguna Niguel,J03-9234-6,8/31/2022,Flowing,Yes,Priority,32,,,0.034,Below Average Discharge,,,,,,,,,,33.5196409,-117.7065275
Laguna Niguel,J03-9234-6,8/31/2022,Flowing,Yes,Priority,32,7222,0.108142,,Below Average Discharge,Not present,Clear,Leaf litter build on flow meter device,Moderate (11-50 Items),In flow path of outfall,,,None,Partial - Significant Distance,33.5196409,-117.7065275
Laguna Niguel,J03-9234-8,7/6/2022,Pooled or Ponded,Yes,,,,,,20% Or More Above Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Partial - Significant Distance,33.51992,-117.715433
Laguna Niguel,J03-9234-8,8/31/2022,Flowing,Yes,,,6636,0.748276,,20% Or More Above Average Discharge,Not present,Clear,Grass clippings in the flow of outfall. Volumetric measurement: 8.33 L in 5 sec,Not Present (0 Items),,,,Overgrown,Partial - Significant Distance,33.51992,-117.715433
Laguna Niguel,J03-9368-1 (J03TBN1),6/23/2022,Flowing,Yes,Priority,45,,0.003822,,Above Average Discharge,Not present,Clear,Minimal flow. Not enough discharge to do conductivity test.,Sparse (<10 Items),Within area surrounding outfall,,,,Direct Connection,33.5378206,-117.6974991
Laguna Niguel,J03-9368-1 (J03TBN1),7/8/2022,Flowing,Yes,Priority,45,,0.000741,,Above Average Discharge,Not present,Not present,100mL/4s,Not Present (0 Items),,,,,Direct Connection,33.5378206,-117.6974991
Laguna Niguel,J03-9368-1 (J03TBN1),7/8/2022,Flowing,Yes,Priority,45,,0.001,0.883,Above Average Discharge,,,SWN meter inspected,,,,,,,33.5378206,-117.6974991
Laguna Niguel,J03-9368-1 (J03TBN1),8/4/2022,Flowing,Yes,Priority,45,,0.005,,Above Average Discharge,,,,,,,,,,33.5378206,-117.6974991
Laguna Niguel,J03-9368-1 (J03TBN1),8/4/2022,Flowing,Yes,Priority,45,2293,0.005085,,Above Average Discharge,Not present,Clear,,Not Present (0 Items),,,,None,Direct Connection,33.5378206,-117.6974991
Laguna Niguel,J03-9368-2 (J03TBN2),6/23/2022,Flowing,Yes,Priority,49,,,0.004,Below Average Discharge,,,,,,,,,,33.5401077,-117.6953827
Laguna Niguel,J03-9368-2 (J03TBN2),6/23/2022,Flowing,Yes,Priority,49,4686,0.015319,,Below Average Discharge,Not present,Yellow tint,,Sparse (<10 Items),Within area surrounding outfall,,,,Direct Connection,33.5401077,-117.6953827
Laguna Niguel,J03-9368-2 (J03TBN2),7/6/2022,Flowing,Yes,Priority,49,7104,,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.5401077,-117.6953827
Laguna Niguel,J03-9368-2 (J03TBN2),7/8/2022,Flowing,Yes,Priority,49,,0.006522,,Below Average Discharge,Not present,Not present,125ml/2.4s,Not Present (0 Items),,,,,Direct Connection,33.5401077,-117.6953827
Laguna Niguel,J03-9368-2 (J03TBN2),7/8/2022,Flowing,Yes,Priority,49,,0.007,0.005,Below Average Discharge,,,SWN meter inspected,,,,,,,33.5401077,-117.6953827
Laguna Niguel,J03-9368-2 (J03TBN2),8/4/2022,Flowing,Yes,Priority,49,,,0.004,Below Average Discharge,,,,,,,,,,33.5401077,-117.6953827
Laguna Niguel,J03-9368-2 (J03TBN2),8/4/2022,Flowing,Yes,Priority,49,7616,0.012187,,Below Average Discharge,Not present,Yellow tint,Volumetric: 0.5 L in 5 sec,Not Present (0 Items),,,,None,Direct Connection,33.5401077,-117.6953827
Laguna Niguel,J04-9249-1,7/8/2022,Pooled or Ponded,Yes,Priority,68,,,,Below Average Discharge,Not present,Not present,About 6? of sediment at base. Negative flow on flow meter due to wind,Abundant (>50 Items),In flow path of outfall,,,,Direct Connection,33.55392245,-117.7098633
Laguna Hills,J05-9255-1 (J05P01),8/2/2022,Pooled or Ponded,Yes,Not A Priority,,,,,Equal,"Brown ""tea"" tint",Not present,,Abundant (>50 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.584603,-117.706386
Laguna Hills,J05-9255-1 (J05P01),9/21/2022,Pooled or Ponded,Yes,Not A Priority,,,,,Equal,Green tint,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.584603,-117.706386
Laguna Hills,J05-9271-6,8/2/2022,Pooled or Ponded,Unknown,Not A Priority,,,,,Equal,Not present,Not present,"Observed from path behind fence, outfall not accessible",Moderate (11-50 Items),In flow path of outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.58731405,-117.7044913
Laguna Hills,J05-9271-6,9/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.58731405,-117.7044913
Laguna Hills,J05-9800-2,7/1/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,Vegetation is blocking flow path and causing sediment accumulation under SWN sensor,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.58919536,-117.7015945
Laguna Hills,J05-9800-2,9/21/2022,Dry,Unknown,Not A Priority,,,,,Equal,Not present,Not present,,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.58919536,-117.7015945
Aliso Viejo,J06-10011-1 (J06P01),6/23/2022,Flowing,Yes,Priority,98,3190.7,0.509735,,Below Average Discharge,Not present,Not present,Clear water,Moderate (11-50 Items),Within area surrounding outfall,Yes,Yes,None,Direct Connection,33.59504096,-117.7157622
Aliso Viejo,J06-10011-1 (J06P01),7/13/2022,Flowing,Yes,Priority,98,,0.437,,Below Average Discharge,,,SWN meter inspected,,,Yes,Yes,,,33.59504096,-117.7157622
Aliso Viejo,J06-10011-1 (J06P01),7/13/2022,Flowing,Yes,Priority,98,,0.53823,,Below Average Discharge,Not present,Not present,0.2 fps with handheld flowmeter,Sparse (<10 Items),In flow path of outfall,Yes,Yes,None,Direct Connection,33.59504096,-117.7157622
Aliso Viejo,J06-10011-1 (J06P01),8/22/2022,Flowing,Yes,Priority,98,,,0.064,Below Average Discharge,,,,,,Yes,Yes,,,33.59504096,-117.7157622
Aliso Viejo,J06-10011-1 (J06P01),8/22/2022,Flowing,Yes,Priority,98,3121,0.27327,,Below Average Discharge,Not present,Not present,Very slow flow. Turb 0.52,Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,,Direct Connection,33.59504096,-117.7157622
Aliso Viejo,J06-9079-1 (J06P03),6/23/2022,Flowing,Yes,Priority,70,2124.6,0.096183,,Below Average Discharge,"Brown ""tea"" tint","Brown ""tea"" tint",,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,Graffiti,Direct Connection,33.59226263,-117.7156422
Aliso Viejo,J06-9079-1 (J06P03),7/13/2022,Flowing,Yes,Priority,70,,0.039,0.019,Below Average Discharge,,,SWN meter inspected,,,Yes,Yes,,,33.59226263,-117.7156422
Aliso Viejo,J06-9079-1 (J06P03),7/13/2022,Flowing,Yes,Priority,70,,0.058,,Below Average Discharge,"Brown ""tea"" tint","Brown ""tea"" tint",L/R: 0.03? 1fps 900ml/1.63,Moderate (11-50 Items),In flow path of outfall,Yes,Yes,None,Direct Connection,33.59226263,-117.7156422
Aliso Viejo,J06-9079-1 (J06P03),8/22/2022,Flowing,Yes,Priority,70,,,0.011,Below Average Discharge,,,,,,Yes,Yes,,,33.59226263,-117.7156422
Aliso Viejo,J06-9079-1 (J06P03),8/22/2022,Flowing,Yes,Priority,70,2290,0.013333,,Below Average Discharge,Not present,"Brown ""tea"" tint",Downspout filter full. Turb 0.96 ntu,Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,Other - See Comments,Direct Connection,33.59226263,-117.7156422
Mission Viejo,J07-9022-1,6/21/2022,Flowing,Yes,Priority,41,1445.439,,,Below Average Discharge,"Brown ""tea"" tint",Not present,,Moderate (11-50 Items),Within area surrounding outfall,,,Graffiti,Direct Connection,33.62678091,-117.6747725
Mission Viejo,J07-9022-1,8/9/2022,Flowing,Yes,Priority,41,1905,0.000771,,Below Average Discharge,Not present,Not present,Volumetric: 125 mL/20.02 secs,Sparse (<10 Items),In flow path of outfall,,,,Partial - Significant Distance,33.62678091,-117.6747725
Mission Viejo,J07-9022-6,6/21/2022,Flowing,Yes,,,3340.629,0,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Partial - Significant Distance,33.628759,-117.66624
Mission Viejo,J07-9022-6,8/9/2022,Flowing,Yes,,,1889,0.001214,,Below Average Discharge,Not present,Not present,Volumetric: 400 mL/10.10 secs,Not Present (0 Items),,,,,Partial - Significant Distance,33.628759,-117.66624
Mission Viejo,J07-9109-1,6/21/2022,Pooled or Ponded,Yes,Priority,34,,,,Below Average Discharge,,,,,,,,,,33.63979501,-117.6591934
Mission Viejo,J07-9109-1,6/21/2022,Pooled or Ponded,Yes,Priority,34,,,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Partial - Significant Distance,33.63979501,-117.6591934
Mission Viejo,J07-9109-1,8/9/2022,Pooled or Ponded,Yes,Priority,34,,,,Below Average Discharge,"Brown ""tea"" tint",Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.63979501,-117.6591934
Mission Viejo,J07-9109-2,6/21/2022,Pooled or Ponded,Yes,Priority,23,,,,Below Average Discharge,,,,,,,,,,33.64157324,-117.6576127
Mission Viejo,J07-9109-2,6/21/2022,Pooled or Ponded,Yes,Priority,23,,,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Partial - Significant Distance,33.64157324,-117.6576127
Mission Viejo,J07-9109-2,8/9/2022,Pooled or Ponded,Yes,Priority,23,,,,Below Average Discharge,"Brown ""tea"" tint",Not present,,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.64157324,-117.6576127
Mission Viejo,J07-9109-4 (J07P02),6/21/2022,Flowing,Yes,Priority,54,,0.038,0.007,Below Average Discharge,,,,,,,,,,33.64644918,-117.6557973
Mission Viejo,J07-9109-4 (J07P02),6/21/2022,Flowing,Yes,Priority,54,1108.301,0.033659,,Below Average Discharge,Not present,Floating trash,,Abundant (>50 Items),Within area surrounding outfall,,,Graffiti,Partial - Significant Distance,33.64644918,-117.6557973
Mission Viejo,J07-9109-4 (J07P02),6/30/2022,Flowing,Yes,Priority,54,,0.024,,Below Average Discharge,,,SWN meter inspected,,,,,,,33.64644918,-117.6557973
Mission Viejo,J07-9109-4 (J07P02),6/30/2022,Flowing,Yes,Priority,54,,0.024,,Below Average Discharge,Not present,"Brown ""tea"" tint",Insects,Abundant (>50 Items),In flow path of outfall,,,,Partial - Significant Distance,33.64644918,-117.6557973
Mission Viejo,J07-9109-4 (J07P02),8/9/2022,Flowing,Yes,Priority,54,,,0.004,Below Average Discharge,,,,,,,,,,33.64644918,-117.6557973
Mission Viejo,J07-9109-4 (J07P02),8/9/2022,Flowing,Yes,Priority,54,2808,0.119205,,Below Average Discharge,Not present,"Brown ""tea"" tint",Volumetric: 500 mL/5 sec,Moderate (11-50 Items),In flow path of outfall,,,,Partial - Significant Distance,33.64644918,-117.6557973
Mission Viejo,J07-9110-1,6/21/2022,Flowing,Yes,Not A Priority,,,,0.001,Below Average Discharge,,,,,,,,,,33.63470136,-117.6635397
Mission Viejo,J07-9110-1,6/21/2022,Flowing,Yes,Not A Priority,,1011,0.004711,,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,Partial - Significant Distance,33.63470136,-117.6635397
Mission Viejo,J07-9110-2,6/21/2022,Flowing,Yes,Priority,45,,0.002,0.002,Below Average Discharge,,,,,,,,,,33.6360887,-117.6622521
Mission Viejo,J07-9110-2,6/21/2022,Flowing,Yes,Priority,45,1582.801,0.002264,,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),,,,,Direct Connection,33.6360887,-117.6622521
Mission Viejo,J07-9110-2,6/30/2022,Flowing,Yes,Priority,45,,0.000586,,Below Average Discharge,Not present,Clear,"Ponded under sensor, trickle flow",Not Present (0 Items),,,,,Direct Connection,33.6360887,-117.6622521
Mission Viejo,J07-9110-2,6/30/2022,Flowing,Yes,Priority,45,,0.001,0,Below Average Discharge,,,SWN meter inspected,,,,,,,33.6360887,-117.6622521
Mission Viejo,J07-9110-2,8/9/2022,Pooled or Ponded,Yes,Priority,45,,,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.6360887,-117.6622521
Mission Viejo,J07-9110-3,6/21/2022,Pooled or Ponded,Unknown,Priority,43,,,,20% Or More Above Average Discharge,,,,,,,,,,33.63962029,-117.6592759
Mission Viejo,J07-9110-3,6/21/2022,Pooled or Ponded,Unknown,Priority,43,,,,20% Or More Above Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Partial - Significant Distance,33.63962029,-117.6592759
Mission Viejo,J07-9110-3,6/30/2022,Dry,Unknown,Priority,43,,,,20% Or More Above Average Discharge,,,SWN meter inspected,,,,,,,33.63962029,-117.6592759
Mission Viejo,J07-9110-3,6/30/2022,Dry,Unknown,Priority,43,,,,20% Or More Above Average Discharge,Not present,Not present,"Evidence of recent flows, ponded behind leaf clutter but technically dry",Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.63962029,-117.6592759
Mission Viejo,J07-9110-3,8/9/2022,Flowing,Unknown,Priority,43,,,0.002,20% Or More Above Average Discharge,,,,,,,,,,33.63962029,-117.6592759
Mission Viejo,J07-9110-3,8/9/2022,Flowing,Unknown,Priority,43,2185,0.051546,,20% Or More Above Average Discharge,Not present,Not present,volumetric: 250 mL/5.15 sec,Sparse (<10 Items),In flow path of outfall,,,,Direct Connection,33.63962029,-117.6592759
Laguna Niguel,K01-12032-2 (K01P11),7/6/2022,Flowing,Yes,Priority,58,3259,0.015248,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Partial - Significant Distance,33.51685546,-117.7177583
Laguna Niguel,K01-12032-2 (K01P11),8/31/2022,Flowing,Yes,Priority,58,,,0.033,Below Average Discharge,,,,,,,,,,33.51685546,-117.7177583
Laguna Niguel,K01-12032-2 (K01P11),8/31/2022,Flowing,Yes,Priority,58,3016,0.060169,,Below Average Discharge,Not present,Clear,,Sparse (<10 Items),Within area surrounding outfall,,,None,Partial - Significant Distance,33.51685546,-117.7177583
Laguna Niguel,K01-12036-1,7/6/2022,Flowing,Yes,Not A Priority,,3218,0.009929,,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,Undetermined,33.5071094,-117.7188933
Laguna Niguel,K01-12036-1,8/31/2022,Flowing,Yes,Not A Priority,,3161,0.008434,,Below Average Discharge,Not present,Clear,,Sparse (<10 Items),Within area surrounding outfall,,,None,Undetermined,33.5071094,-117.7188933
Laguna Niguel,K01-12036-10,7/6/2022,Dry,Unknown,Priority,22,,,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.51221718,-117.716748
Laguna Niguel,K01-12036-10,8/31/2022,Flowing,Unknown,Priority,22,,,0.001,Below Average Discharge,,,,,,,,,,33.51221718,-117.716748
Laguna Niguel,K01-12036-10,8/31/2022,Flowing,Unknown,Priority,22,5195,0.003429,,Below Average Discharge,Not present,Clear,Too shallow for center and right floating leaf velocity.,Moderate (11-50 Items),Within area surrounding outfall,,,None,Undetermined,33.51221718,-117.716748
Laguna Niguel,K01-12036-5,7/6/2022,Flowing,Yes,Priority,55,2609,0.068235,,Above Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Undetermined,33.51166906,-117.7180355
Laguna Niguel,K01-12036-5,8/31/2022,Flowing,Yes,Priority,55,,,,Above Average Discharge,,,No enough flow to do volumetric measurement.,,,,,,,33.51166906,-117.7180355
Laguna Niguel,K01-12036-5,8/31/2022,Flowing,Yes,Priority,55,2645,0.056277,,Above Average Discharge,Not present,Clear,Golf balls near outfall. Algae blocking flow of discharge.,Sparse (<10 Items),Within area surrounding outfall,,,Sediment,Undetermined,33.51166906,-117.7180355
Laguna Niguel,K01-12058-1 (K01P08),8/2/2022,Flowing,Yes,Priority,67,,,0.016,Below Average Discharge,,,,,,,,,,33.5113,-117.69462
Laguna Niguel,K01-12058-1 (K01P08),8/2/2022,Flowing,Yes,Priority,67,4082,0.026667,,Below Average Discharge,Not present,Not present,2.25 liters/4.84 seconds,Moderate (11-50 Items),Within area surrounding outfall,,,,Direct Connection,33.5113,-117.69462
Laguna Niguel,K01-12058-2 (K01P09),8/2/2022,Flowing,Yes,Priority,64,,,0.045,Below Average Discharge,,,,,,,,,,33.51125335,-117.6946013
Laguna Niguel,K01-12058-2 (K01P09),8/2/2022,Flowing,Yes,Priority,64,4085,0.068852,,Below Average Discharge,Not present,"Brown ""tea"" tint","Volumetric: 4.5L / 3.5 seconds ; Velocity: left: 3.32 seconds, right: 2.7 secs, center: 1.3 secs",Sparse (<10 Items),In flow path of outfall,,,,Direct Connection,33.51125335,-117.6946013
Laguna Niguel,K01-12062-1,8/2/2022,Pooled or Ponded,Yes,Not A Priority,,3060,0.122807,,Equal,Not present,Not present,Measurements taken 300m downstream. Flow velocity is average of left/center/right. Volumetric 5.37s.,Abundant (>50 Items),In flow path of outfall,,,,Direct Connection,33.50914725,-117.6906816
Dana Point,K01-12126-1 (K01S01),6/22/2022,Flowing,Yes,Priority,78,5427,0.46478,,Above Average Discharge,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,Yes,Yes,None,Direct Connection,33.48403393,-117.7198758
Dana Point,K01-12126-1 (K01S01),9/7/2022,Flowing,Yes,Priority,78,,,,Above Average Discharge,,,,,,Yes,Yes,,,33.48403393,-117.7198758
Dana Point,K01-12126-1 (K01S01),9/7/2022,Flowing,Yes,Priority,78,5087,0.497143,,Above Average Discharge,Not present,Yellow tint,Trash in dissipator pond,Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,Other - See Comments,Direct Connection,33.48403393,-117.7198758
Laguna Niguel,K01-12138-1 (K01TBN1),8/2/2022,Flowing,Yes,Priority,18,2222,0.0045,,Below Average Discharge,Not present,Not present,Volumetric in 10s: .51 L,Sparse (<10 Items),Within area surrounding outfall,,,Damaged,Undetermined,33.5119634,-117.6971046
Laguna Niguel,K01-12155-1,7/6/2022,Pooled or Ponded,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,,,,Undetermined,33.49919589,-117.7202203
Laguna Niguel,K01-12155-1,8/31/2022,Dry,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.49919589,-117.7202203
Laguna Niguel,K01-12155-5,7/6/2022,Flowing,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Not present,Too over grown and deep to test,Not Present (0 Items),,,,Overgrown,Undetermined,33.50234645,-117.720053
Laguna Niguel,K01-12155-5,8/31/2022,Other - See Comments,Unknown,Not A Priority,,,,,Below Average Discharge,Not present,Not present,Inaccessible due weeds.,,,,,Overgrown,Undetermined,33.50234645,-117.720053
Laguna Niguel,K01-12156-6,7/20/2022,Flowing,Yes,,,5115,0.396,,,Not present,Not present,CHWSRS sampling Turb .94.,Sparse (<10 Items),Within area surrounding outfall,,,,Direct Connection,33.49533383,-117.7149148
Laguna Niguel,K01-12156-6,8/18/2022,Flowing,Yes,,,5371,,,,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.49533383,-117.7149148
Dana Point,K01-12159-2,6/22/2022,Flowing,Yes,Priority,62,,,0.088,Below Average Discharge,,,,,,Yes,,,,33.4824512,-117.7204321
Dana Point,K01-12159-2,6/22/2022,Flowing,Yes,Priority,62,2927,0.114324,,Below Average Discharge,Not present,Not present,Vol: 5 L in 2 sec. Slippery biofilm.  Access from same side of creek.,Moderate (11-50 Items),Within area surrounding outfall,Yes,,None,Direct Connection,33.4824512,-117.7204321
Dana Point,K01-12159-2,9/7/2022,Flowing,Yes,Priority,62,,,0.044,Below Average Discharge,,,,,,Yes,,,,33.4824512,-117.7204321
Dana Point,K01-12159-2,9/7/2022,Flowing,Yes,Priority,62,4869,0.113233,,Below Average Discharge,Not present,Clear,,Not Present (0 Items),,Yes,,None,Direct Connection,33.4824512,-117.7204321
Dana Point,K01-12159-3,6/22/2022,Flowing,Yes,Priority,43,,,0.007,Below Average Discharge,,,,,,,,,,33.48259382,-117.7203981
Dana Point,K01-12159-3,6/22/2022,Flowing,Yes,Priority,43,3829,0.014143,,Below Average Discharge,Not present,Not present,3 liters in 15 sec,Sparse (<10 Items),In flow path of outfall,,,None,Direct Connection,33.48259382,-117.7203981
Dana Point,K01-12159-3,9/7/2022,Flowing,Yes,Priority,43,,,0.007,Below Average Discharge,,,,,,,,,,33.48259382,-117.7203981
Dana Point,K01-12159-3,9/7/2022,Flowing,Yes,Priority,43,3633,0.012935,,Below Average Discharge,Not present,Clear,,Not Present (0 Items),,,,,Direct Connection,33.48259382,-117.7203981
Laguna Niguel,K01-12177-1 (K01P07),6/15/2022,Flowing,Yes,Priority,77,,0.221,0.039,Below Average Discharge,,,,,,Yes,Yes,,,33.50860089,-117.7073807
Laguna Niguel,K01-12177-1 (K01P07),6/15/2022,Flowing,Yes,Priority,77,2416,0.198,,Below Average Discharge,Not present,Odor,"Mud and trash, mud snails and flies present",Abundant (>50 Items),Within area surrounding outfall,Yes,Yes,Graffiti,Undetermined,33.50860089,-117.7073807
Laguna Niguel,K01-12177-1 (K01P07),8/18/2022,Flowing,Yes,Priority,77,,,0.024,Below Average Discharge,,,,,,Yes,Yes,,,33.50860089,-117.7073807
Laguna Niguel,K01-12177-1 (K01P07),8/18/2022,Flowing,Yes,Priority,77,2005,,,Below Average Discharge,Not present,Clear,Turb 1.41 NTU. Use volumetric for flow Weir with triangle notch and flow sensor.,Abundant (>50 Items),In flow path of outfall,Yes,Yes,,Undetermined,33.50860089,-117.7073807
Rancho Santa Margarita,L01-125-1,7/28/2022,Pooled or Ponded,Yes,Not A Priority,,2117,,,,Chocolate milk,Not present,Flow sounds back in outfall.  Dissipator too deeply ponded (from overgrown vegetation) to access. Back flow on right side of outfall.,Sparse (<10 Items),Within area surrounding outfall,,,Clogged,Undetermined,33.65133621,-117.5670968
Rancho Santa Margarita,L01-125-1,9/20/2022,Pooled or Ponded,Yes,Not A Priority,,,,,,Not present,Green tint,Flowing heard back in pipe; grass clippings,Moderate (11-50 Items),In flow path of outfall,,,Clogged,Undetermined,33.65133621,-117.5670968
