Jurisdiction,FacilityID,ObsRecordDate,FlowCondition,PersistentFlow,Priority,PrioritizationScore2022,Conductivity,FloatDischargeCFS,VolumeDischargeCFS,LastDischargeTrend,ScourWaterCondition,DissWaterCondition,Comments,TrashCondition,TrashLocation,SampleDry,OCFSLocation,MaintenanceIssue,FlowConnectivity,PointY,PointX,Date
Laguna Hills,J05-9271-6,8/2/2022,Pooled or Ponded,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,"Observed from path behind fence, outfall not accessible",Moderate (11-50 Items),In flow path of outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.58731405,-117.7044913,2022-08-02
Laguna Hills,J05-9271-6,9/21/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.58731405,-117.7044913,2022-09-21
Laguna Hills,J05-9800-2,7/1/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,Vegetation is blocking flow path and causing sediment accumulation under SWN sensor,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.58919536,-117.7015945,2022-07-01
Laguna Hills,J05-9800-2,9/21/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.58919536,-117.7015945,2022-09-21
Laguna Niguel,J01-10041-2 (J03P13),6/28/2022,Pooled or Ponded,Yes,Priority,53,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,,,,,,,Partial - Significant Distance,33.55263878,-117.7088295,2022-06-28
Laguna Niguel,J01-9005-1 (J03P05),7/8/2022,Flowing,Yes,Priority,57,NA,0.019971,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,Yes,,Direct Connection,33.53991146,-117.7041702,2022-07-08
Laguna Niguel,J01-9005-1 (J03P05),7/8/2022,Flowing,Yes,Priority,57,NA,0.022,0.167,Below Average Discharge,,,SWN meter inspected,,,,Yes,,,33.53991146,-117.7041702,2022-07-08
Laguna Niguel,J01-9005-3,7/8/2022,Flowing,Yes,Priority,52,NA,NA,NA,20% Or More Above Average Discharge,,,SWN meter inspected,,,,,,,33.5461744,-117.7030442,2022-07-08
Laguna Niguel,J01-9005-3,7/8/2022,Flowing,Yes,Priority,52,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,No flow at surface (leaf test doesn?t work),Sparse (<10 Items),Within area surrounding outfall,,,,Direct Connection,33.5461744,-117.7030442,2022-07-08
Laguna Niguel,J01-9144-1 (J01P23),6/28/2022,Flowing,Yes,Priority,52,NA,0,0.001,Below Average Discharge,,,,,,,,,,33.554894,-117.7189509,2022-06-28
Laguna Niguel,J01-9144-1 (J01P23),6/28/2022,Flowing,Yes,Priority,52,NA,5.7e-4,NA,Below Average Discharge,Not present,Not present,"Graffiti present, limited flow, 12.5ml/5 sec",Moderate (11-50 Items),Within area surrounding outfall,,,Graffiti,Direct Connection,33.554894,-117.7189509,2022-06-28
Laguna Niguel,J01-9144-1 (J01P23),7/13/2022,Flowing,Yes,Priority,52,NA,NA,0,Below Average Discharge,,,SWN meter inspected,,,,,,,33.554894,-117.7189509,2022-07-13
Laguna Niguel,J01-9144-1 (J01P23),7/13/2022,Flowing,Yes,Priority,52,NA,5.63e-4,NA,Below Average Discharge,Not present,Not present,25ml/10s,Moderate (11-50 Items),In flow path of outfall,,,Graffiti,Direct Connection,33.554894,-117.7189509,2022-07-13
Laguna Niguel,J01-9224-1 (J01P24),6/15/2022,Flowing,Yes,Priority,62,NA,0.011,NA,Below Average Discharge,,,,,,Yes,,,,33.55648201,-117.7177983,2022-06-15
Laguna Niguel,J01-9224-1 (J01P24),6/15/2022,Flowing,Yes,Priority,62,2769,0.010833,NA,Below Average Discharge,Not present,Not present,Turbidity 3.73,Sparse (<10 Items),Within area surrounding outfall,Yes,,,Direct Connection,33.55648201,-117.7177983,2022-06-15
Laguna Niguel,J01-9224-1 (J01P24),7/13/2022,Pooled or Ponded,Yes,Priority,62,NA,NA,NA,Below Average Discharge,,,SWN meter inspected,,,Yes,,,,33.55648201,-117.7177983,2022-07-13
Laguna Niguel,J01-9224-1 (J01P24),7/13/2022,Pooled or Ponded,Yes,Priority,62,NA,NA,NA,Below Average Discharge,Not present,Not present,L/R: 0.5?,Moderate (11-50 Items),Within area surrounding outfall,Yes,,,Direct Connection,33.55648201,-117.7177983,2022-07-13
Laguna Niguel,J01-9224-1 (J01P24),8/10/2022,Flowing,Yes,Priority,62,NA,0.004,NA,Below Average Discharge,,,,,,Yes,,,,33.55648201,-117.7177983,2022-08-10
Laguna Niguel,J01-9224-1 (J01P24),8/18/2022,Flowing,Yes,Priority,62,3305,0.0165,NA,Below Average Discharge,Not present,Not present,"Depth: left 0.05 middle: 0.08 right: 0.04 width: 1.1 seconds: 15, 25,20) volumetric: 1350 mls in 20 sec",Sparse (<10 Items),Within area surrounding outfall,Yes,,None,Direct Connection,33.55648201,-117.7177983,2022-08-18
Laguna Niguel,J01-9224-2 (J01P25),6/15/2022,Flowing,Yes,Priority,79,NA,NA,NA,Below Average Discharge,,,,,,Yes,,,,33.55761613,-117.7176799,2022-06-15
Laguna Niguel,J01-9224-2 (J01P25),6/15/2022,Flowing,Yes,Priority,79,2576,0.0735,NA,Below Average Discharge,Not present,Not present,Turbidity 0.37,Sparse (<10 Items),Within area surrounding outfall,Yes,,None,Direct Connection,33.55761613,-117.7176799,2022-06-15
Laguna Niguel,J01-9224-2 (J01P25),7/13/2022,Flowing,Yes,Priority,79,NA,NA,NA,Below Average Discharge,,,"SWN meter inspected, not working due to lack of gateway devices and vandalism.",,,Yes,,,,33.55761613,-117.7176799,2022-07-13
Laguna Niguel,J01-9224-2 (J01P25),7/13/2022,Flowing,Yes,Priority,79,NA,0.0735,NA,Below Average Discharge,Not present,Not present,SWN sensor vandalized,Sparse (<10 Items),Within area surrounding outfall,Yes,,Damaged,Direct Connection,33.55761613,-117.7176799,2022-07-13
Laguna Niguel,J01-9224-2 (J01P25),8/18/2022,Flowing,Yes,Priority,79,NA,NA,0.019,Below Average Discharge,,,,,,Yes,,,,33.55761613,-117.7176799,2022-08-18
Laguna Niguel,J01-9224-2 (J01P25),8/18/2022,Flowing,Yes,Priority,79,2433,0.041236,NA,Below Average Discharge,Not present,Not present,Volumetric : 2687.5 for 5 secs (avg of three reading accounting for loss) Middle depth:0.1 left depth: 0.06 right depth: 0.06.      Width: 1.08  middle/ left time: 8 sec For 6 ft right side 15 sec for 6ft,Sparse (<10 Items),Within area surrounding outfall,Yes,,Graffiti,Direct Connection,33.55761613,-117.7176799,2022-08-18
Laguna Niguel,J03-9215-1,6/23/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,,Not present,Not present,,,,,,,Direct Connection,33.53115836,-117.7056626,2022-06-23
Laguna Niguel,J03-9215-1,8/4/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,None,Direct Connection,33.53115836,-117.7056626,2022-08-04
Laguna Niguel,J03-9215-3,6/23/2022,Flowing,Yes,Priority,51,7569,0.010218,NA,Below Average Discharge,Not present,"Brown ""tea"" tint",,Sparse (<10 Items),Within area surrounding outfall,,,None,Direct Connection,33.53410231,-117.7015748,2022-06-23
Laguna Niguel,J03-9215-3,7/8/2022,Flowing,Yes,Priority,51,NA,0.017647,NA,Below Average Discharge,Not present,Not present,L/R: 0.01? same velocity,Moderate (11-50 Items),In flow path of outfall,,,Graffiti,Direct Connection,33.53410231,-117.7015748,2022-07-08
Laguna Niguel,J03-9215-3,7/8/2022,Flowing,Yes,Priority,51,NA,0.018,0.238,Below Average Discharge,,,SWN meter inspected,,,,,,,33.53410231,-117.7015748,2022-07-08
Laguna Niguel,J03-9215-3,8/4/2022,Flowing,Yes,Priority,51,NA,0.026,0.008,Below Average Discharge,,,,,,,,,,33.53410231,-117.7015748,2022-08-04
Laguna Niguel,J03-9215-3,8/4/2022,Flowing,Yes,Priority,51,6764,0.025993,NA,Below Average Discharge,Not present,Yellow tint,,Not Present (0 Items),,,,Graffiti,Direct Connection,33.53410231,-117.7015748,2022-08-04
Laguna Niguel,J03-9216-1 (J03P01),7/6/2022,Pooled or Ponded,Yes,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.5307754,-117.7082473,2022-07-06
Laguna Niguel,J03-9216-1 (J03P01),7/8/2022,Flowing,Yes,Priority,43,NA,NA,NA,Below Average Discharge,Not present,Not present,125ml/5s,Not Present (0 Items),,,,,Direct Connection,33.5307754,-117.7082473,2022-07-08
Laguna Niguel,J03-9216-1 (J03P01),8/4/2022,Pooled or Ponded,Yes,Priority,43,NA,NA,NA,Below Average Discharge,Clear,Not present,,Not Present (0 Items),,,,,Direct Connection,33.5307754,-117.7082473,2022-08-04
Laguna Niguel,J03-9216-2,8/4/2022,Flowing,Yes,Priority,74,4009,2.93494,NA,Below Average Discharge,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,Yes,None,Partial - Significant Distance,33.5280069,-117.7100766,2022-08-04
Laguna Niguel,J03-9216-2,8/8/2022,Flowing,Yes,Priority,74,NA,0.4,NA,Below Average Discharge,Not present,Not present,Flow measurement with P2939 Flow Tracker; .4 cfs,Moderate (11-50 Items),In flow path of outfall,,Yes,,Partial - Significant Distance,33.5280069,-117.7100766,2022-08-08
Laguna Niguel,J03-9216-5,8/4/2022,Pooled or Ponded,Yes,,NA,NA,NA,NA,,"Brown ""tea"" tint",Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,Partial - Significant Distance,33.5281727,-117.7097701,2022-08-04
Laguna Niguel,J03-9221-1 (J03P02),6/15/2022,Flowing,Yes,Priority,47,NA,NA,0.049,Below Average Discharge,,,,,,Yes,Yes,,,33.54994727,-117.7171712,2022-06-15
Laguna Niguel,J03-9221-1 (J03P02),6/15/2022,Flowing,Yes,Priority,47,5136,0.032,NA,Below Average Discharge,Not present,Green tint,"Loose vegetation covering conductivity sensor, turbidity 2.19",Sparse (<10 Items),In flow path of outfall,Yes,Yes,Clogged,Undetermined,33.54994727,-117.7171712,2022-06-15
Laguna Niguel,J03-9221-1 (J03P02),7/8/2022,Flowing,Yes,Priority,47,NA,0.089856,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,Yes,Yes,,Unsafe to Access,33.54994727,-117.7171712,2022-07-08
Laguna Niguel,J03-9221-1 (J03P02),7/8/2022,Flowing,Yes,Priority,47,NA,0.091,0.708,Below Average Discharge,,,SWN meter inspected,,,Yes,Yes,,,33.54994727,-117.7171712,2022-07-08
Laguna Niguel,J03-9221-1 (J03P02),8/18/2022,Flowing,Yes,Priority,47,NA,NA,0.03,Below Average Discharge,,,,,,Yes,Yes,,,33.54994727,-117.7171712,2022-08-18
Laguna Niguel,J03-9221-1 (J03P02),8/18/2022,Flowing,Yes,Priority,47,5030,0.158257,NA,Below Average Discharge,Not present,"Brown ""tea"" tint","Depth: Middle: 0.08, Right:0.03, Left:  0.04 Avg: 0.05   Width 1.15  Sec: Middle 2.18 sec Right 2.16 Left 2.20  Avg:2.18 sec / 6ft  Volumetric:   2700ml in 3 sec 2625 ml 3 sec 2250 ml 3sec  Avg: 2525 ml/3sec",Sparse (<10 Items),Within area surrounding outfall,Yes,Yes,None,Undetermined,33.54994727,-117.7171712,2022-08-18
Laguna Niguel,J03-9234-5,7/6/2022,Flowing,Yes,Not A Priority,NA,6248,NA,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.51976015,-117.7070197,2022-07-06
Laguna Niguel,J03-9234-5,8/31/2022,Pooled or Ponded,Yes,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Clear,,,Not Present (0 Items),,,,Overgrown,,33.51976015,-117.7070197,2022-08-31
Laguna Niguel,J03-9234-6,7/6/2022,Flowing,Yes,Priority,32,5413,0.07619,NA,Below Average Discharge,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,,Graffiti,Partial - Significant Distance,33.5196409,-117.70652750000001,2022-07-06
Laguna Niguel,J03-9234-6,7/8/2022,Flowing,Yes,Priority,32,NA,0.1248,NA,Below Average Discharge,Not present,Not present,Weird tube is the SWN conductivity meter,Moderate (11-50 Items),In flow path of outfall,,,Graffiti,Partial - Significant Distance,33.5196409,-117.70652750000001,2022-07-08
Laguna Niguel,J03-9234-6,7/8/2022,Flowing,Yes,Priority,32,NA,0.126,0.16,Below Average Discharge,,,SWN sensor inspected.,,,,,,,33.5196409,-117.70652750000001,2022-07-08
Laguna Niguel,J03-9234-6,8/31/2022,Flowing,Yes,Priority,32,NA,NA,0.034,Below Average Discharge,,,,,,,,,,33.5196409,-117.70652750000001,2022-08-31
Laguna Niguel,J03-9234-6,8/31/2022,Flowing,Yes,Priority,32,7222,0.108142,NA,Below Average Discharge,Not present,Clear,Leaf litter build on flow meter device,Moderate (11-50 Items),In flow path of outfall,,,None,Partial - Significant Distance,33.5196409,-117.70652750000001,2022-08-31
Laguna Niguel,J03-9234-8,7/6/2022,Pooled or Ponded,Yes,,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Partial - Significant Distance,33.51992,-117.715433,2022-07-06
Laguna Niguel,J03-9234-8,8/31/2022,Flowing,Yes,,NA,6636,0.748276,NA,20% Or More Above Average Discharge,Not present,Clear,Grass clippings in the flow of outfall. Volumetric measurement: 8.33 L in 5 sec,Not Present (0 Items),,,,Overgrown,Partial - Significant Distance,33.51992,-117.715433,2022-08-31
Laguna Niguel,J03-9368-1 (J03TBN1),6/23/2022,Flowing,Yes,Priority,45,NA,0.003822,NA,Above Average Discharge,Not present,Clear,Minimal flow. Not enough discharge to do conductivity test.,Sparse (<10 Items),Within area surrounding outfall,,,,Direct Connection,33.5378206,-117.6974991,2022-06-23
Laguna Niguel,J03-9368-1 (J03TBN1),7/8/2022,Flowing,Yes,Priority,45,NA,7.41e-4,NA,Above Average Discharge,Not present,Not present,100mL/4s,Not Present (0 Items),,,,,Direct Connection,33.5378206,-117.6974991,2022-07-08
Laguna Niguel,J03-9368-1 (J03TBN1),7/8/2022,Flowing,Yes,Priority,45,NA,0.001,0.883,Above Average Discharge,,,SWN meter inspected,,,,,,,33.5378206,-117.6974991,2022-07-08
Laguna Niguel,J03-9368-1 (J03TBN1),8/4/2022,Flowing,Yes,Priority,45,NA,0.005,NA,Above Average Discharge,,,,,,,,,,33.5378206,-117.6974991,2022-08-04
Laguna Niguel,J03-9368-1 (J03TBN1),8/4/2022,Flowing,Yes,Priority,45,2293,0.005085,NA,Above Average Discharge,Not present,Clear,,Not Present (0 Items),,,,None,Direct Connection,33.5378206,-117.6974991,2022-08-04
Laguna Niguel,J03-9368-2 (J03TBN2),6/23/2022,Flowing,Yes,Priority,49,NA,NA,0.004,Below Average Discharge,,,,,,,,,,33.5401077,-117.6953827,2022-06-23
Laguna Niguel,J03-9368-2 (J03TBN2),6/23/2022,Flowing,Yes,Priority,49,4686,0.015319,NA,Below Average Discharge,Not present,Yellow tint,,Sparse (<10 Items),Within area surrounding outfall,,,,Direct Connection,33.5401077,-117.6953827,2022-06-23
Laguna Niguel,J03-9368-2 (J03TBN2),7/6/2022,Flowing,Yes,Priority,49,7104,NA,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.5401077,-117.6953827,2022-07-06
Laguna Niguel,J03-9368-2 (J03TBN2),7/8/2022,Flowing,Yes,Priority,49,NA,0.006522,NA,Below Average Discharge,Not present,Not present,125ml/2.4s,Not Present (0 Items),,,,,Direct Connection,33.5401077,-117.6953827,2022-07-08
Laguna Niguel,J03-9368-2 (J03TBN2),7/8/2022,Flowing,Yes,Priority,49,NA,0.007,0.005,Below Average Discharge,,,SWN meter inspected,,,,,,,33.5401077,-117.6953827,2022-07-08
Laguna Niguel,J03-9368-2 (J03TBN2),8/4/2022,Flowing,Yes,Priority,49,NA,NA,0.004,Below Average Discharge,,,,,,,,,,33.5401077,-117.6953827,2022-08-04
Laguna Niguel,J03-9368-2 (J03TBN2),8/4/2022,Flowing,Yes,Priority,49,7616,0.012187,NA,Below Average Discharge,Not present,Yellow tint,Volumetric: 0.5 L in 5 sec,Not Present (0 Items),,,,None,Direct Connection,33.5401077,-117.6953827,2022-08-04
Laguna Niguel,J04-9249-1,7/8/2022,Pooled or Ponded,Yes,Priority,68,NA,NA,NA,Below Average Discharge,Not present,Not present,About 6? of sediment at base. Negative flow on flow meter due to wind,Abundant (>50 Items),In flow path of outfall,,,,Direct Connection,33.55392245,-117.7098633,2022-07-08
Laguna Niguel,K01-12032-2 (K01P11),7/6/2022,Flowing,Yes,Priority,58,3259,0.015248,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Partial - Significant Distance,33.51685546,-117.7177583,2022-07-06
Laguna Niguel,K01-12032-2 (K01P11),8/31/2022,Flowing,Yes,Priority,58,NA,NA,0.033,Below Average Discharge,,,,,,,,,,33.51685546,-117.7177583,2022-08-31
Laguna Niguel,K01-12032-2 (K01P11),8/31/2022,Flowing,Yes,Priority,58,3016,0.060169,NA,Below Average Discharge,Not present,Clear,,Sparse (<10 Items),Within area surrounding outfall,,,None,Partial - Significant Distance,33.51685546,-117.7177583,2022-08-31
Laguna Niguel,K01-12036-1,7/6/2022,Flowing,Yes,Not A Priority,NA,3218,0.009929,NA,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,Undetermined,33.5071094,-117.7188933,2022-07-06
Laguna Niguel,K01-12036-1,8/31/2022,Flowing,Yes,Not A Priority,NA,3161,0.008434,NA,Below Average Discharge,Not present,Clear,,Sparse (<10 Items),Within area surrounding outfall,,,None,Undetermined,33.5071094,-117.7188933,2022-08-31
Laguna Niguel,K01-12036-10,7/6/2022,Dry,Unknown,Priority,22,NA,NA,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.51221718,-117.716748,2022-07-06
Laguna Niguel,K01-12036-10,8/31/2022,Flowing,Unknown,Priority,22,NA,NA,0.001,Below Average Discharge,,,,,,,,,,33.51221718,-117.716748,2022-08-31
Laguna Niguel,K01-12036-10,8/31/2022,Flowing,Unknown,Priority,22,5195,0.003429,NA,Below Average Discharge,Not present,Clear,Too shallow for center and right floating leaf velocity.,Moderate (11-50 Items),Within area surrounding outfall,,,None,Undetermined,33.51221718,-117.716748,2022-08-31
Laguna Niguel,K01-12036-5,7/6/2022,Flowing,Yes,Priority,55,2609,0.068235,NA,Above Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,Undetermined,33.51166906,-117.7180355,2022-07-06
Laguna Niguel,K01-12036-5,8/31/2022,Flowing,Yes,Priority,55,NA,NA,NA,Above Average Discharge,,,No enough flow to do volumetric measurement.,,,,,,,33.51166906,-117.7180355,2022-08-31
Laguna Niguel,K01-12036-5,8/31/2022,Flowing,Yes,Priority,55,2645,0.056277,NA,Above Average Discharge,Not present,Clear,Golf balls near outfall. Algae blocking flow of discharge.,Sparse (<10 Items),Within area surrounding outfall,,,Sediment,Undetermined,33.51166906,-117.7180355,2022-08-31
Laguna Niguel,K01-12058-1 (K01P08),8/2/2022,Flowing,Yes,Priority,67,NA,NA,0.016,Below Average Discharge,,,,,,,,,,33.5113,-117.69462,2022-08-02
Laguna Niguel,K01-12058-1 (K01P08),8/2/2022,Flowing,Yes,Priority,67,4082,0.026667,NA,Below Average Discharge,Not present,Not present,2.25 liters/4.84 seconds,Moderate (11-50 Items),Within area surrounding outfall,,,,Direct Connection,33.5113,-117.69462,2022-08-02
Laguna Niguel,K01-12058-2 (K01P09),8/2/2022,Flowing,Yes,Priority,64,NA,NA,0.045,Below Average Discharge,,,,,,,,,,33.51125335,-117.6946013,2022-08-02
Laguna Niguel,K01-12058-2 (K01P09),8/2/2022,Flowing,Yes,Priority,64,4085,0.068852,NA,Below Average Discharge,Not present,"Brown ""tea"" tint","Volumetric: 4.5L / 3.5 seconds ; Velocity: left: 3.32 seconds, right: 2.7 secs, center: 1.3 secs",Sparse (<10 Items),In flow path of outfall,,,,Direct Connection,33.51125335,-117.6946013,2022-08-02
Laguna Niguel,K01-12062-1,8/2/2022,Pooled or Ponded,Yes,Not A Priority,NA,3060,0.122807,NA,Equal,Not present,Not present,Measurements taken 300m downstream. Flow velocity is average of left/center/right. Volumetric 5.37s.,Abundant (>50 Items),In flow path of outfall,,,,Direct Connection,33.50914725,-117.6906816,2022-08-02
Laguna Niguel,K01-12138-1 (K01TBN1),8/2/2022,Flowing,Yes,Priority,18,2222,0.0045,NA,Below Average Discharge,Not present,Not present,Volumetric in 10s: .51 L,Sparse (<10 Items),Within area surrounding outfall,,,Damaged,Undetermined,33.5119634,-117.6971046,2022-08-02
Laguna Niguel,K01-12155-1,7/6/2022,Pooled or Ponded,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,,,,Undetermined,33.49919589,-117.7202203,2022-07-06
Laguna Niguel,K01-12155-1,8/31/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.49919589,-117.7202203,2022-08-31
Laguna Niguel,K01-12155-5,7/6/2022,Flowing,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Too over grown and deep to test,Not Present (0 Items),,,,Overgrown,Undetermined,33.50234645,-117.720053,2022-07-06
Laguna Niguel,K01-12155-5,8/31/2022,Other - See Comments,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,Inaccessible due weeds.,,,,,Overgrown,Undetermined,33.50234645,-117.720053,2022-08-31
Laguna Niguel,K01-12156-6,7/20/2022,Flowing,Yes,,NA,5115,0.396,NA,,Not present,Not present,CHWSRS sampling Turb .94.,Sparse (<10 Items),Within area surrounding outfall,,,,Direct Connection,33.49533383,-117.7149148,2022-07-20
Laguna Niguel,K01-12156-6,8/18/2022,Flowing,Yes,,NA,5371,NA,NA,,Not present,Not present,,Not Present (0 Items),,,,,Direct Connection,33.49533383,-117.7149148,2022-08-18
Laguna Niguel,K01-12177-1 (K01P07),6/15/2022,Flowing,Yes,Priority,77,NA,0.221,0.039,Below Average Discharge,,,,,,Yes,Yes,,,33.50860089,-117.7073807,2022-06-15
Laguna Niguel,K01-12177-1 (K01P07),6/15/2022,Flowing,Yes,Priority,77,2416,0.198,NA,Below Average Discharge,Not present,Odor,"Mud and trash, mud snails and flies present",Abundant (>50 Items),Within area surrounding outfall,Yes,Yes,Graffiti,Undetermined,33.50860089,-117.7073807,2022-06-15
Laguna Niguel,K01-12177-1 (K01P07),8/18/2022,Flowing,Yes,Priority,77,NA,NA,0.024,Below Average Discharge,,,,,,Yes,Yes,,,33.50860089,-117.7073807,2022-08-18
Laguna Niguel,K01-12177-1 (K01P07),8/18/2022,Flowing,Yes,Priority,77,2005,NA,NA,Below Average Discharge,Not present,Clear,Turb 1.41 NTU. Use volumetric for flow Weir with triangle notch and flow sensor.,Abundant (>50 Items),In flow path of outfall,Yes,Yes,,Undetermined,33.50860089,-117.7073807,2022-08-18
Laguna Niguel,L03-418-1,7/6/2022,Flowing,Yes,Priority,50,NA,0,0.014,Below Average Discharge,,,,,,,,,,33.54734682,-117.6744682,2022-07-06
Laguna Niguel,L03-418-1,7/6/2022,Flowing,Yes,Priority,50,4067,0.178723,NA,Below Average Discharge,Not present,Not present,Water color is pink,Sparse (<10 Items),Within area surrounding outfall,,,Graffiti,Direct Connection,33.54734682,-117.6744682,2022-07-06
Laguna Niguel,L03-418-1,9/21/2022,Flowing,Yes,Priority,50,NA,NA,0.004,Below Average Discharge,,,,,,,,,,33.54734682,-117.6744682,2022-09-21
Laguna Niguel,L03-418-1,9/21/2022,Flowing,Yes,Priority,50,2480,0.021,NA,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,,,,Direct Connection,33.54734682,-117.6744682,2022-09-21
Laguna Niguel,L03-418-2,6/23/2022,Flowing,Yes,Not A Priority,NA,NA,NA,NA,20% Or More Above Average Discharge,Not present,Yellow tint,Minimal flow. Not enough to do flow velocity or conductivity test.,Sparse (<10 Items),Within area surrounding outfall,,,Other - See Comments,Partial - Significant Distance,33.55409343,-117.6759911,2022-06-23
Laguna Niguel,L03-418-2,8/4/2022,Flowing,Yes,Not A Priority,NA,1599,0.017333,NA,20% Or More Above Average Discharge,Not present,"Brown ""tea"" tint",Not enough flow for volumetric measurement. Floating leaf velocity duration: 3.60 sec per 6 ft.,Abundant (>50 Items),Within area surrounding outfall,,,None,Partial - Significant Distance,33.55409343,-117.6759911,2022-08-04
Laguna Niguel,L03-418-3,6/23/2022,Pooled or Ponded,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Yellow tint,No flow. Discharge is stagnant.,Sparse (<10 Items),Within area surrounding outfall,,,Other - See Comments,Partial - Significant Distance,33.55476752,-117.6759611,2022-06-23
Laguna Niguel,L03-418-3,8/4/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Below Average Discharge,Not present,Not present,,Sparse (<10 Items),Within area surrounding outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.55476752,-117.6759611,2022-08-04
Laguna Niguel,L03-418-8,6/15/2022,Flowing,Yes,Priority,61,3205,0.1,NA,Below Average Discharge,Green tint,Not present,,Not Present (0 Items),,Yes,Yes,None,Direct Connection,33.5575697,-117.6763089,2022-06-15
Laguna Niguel,L03-418-8,8/18/2022,Flowing,Yes,Priority,61,2853,0.098182,NA,Below Average Discharge,Green tint,Not present,Bird poop,Not Present (0 Items),,Yes,Yes,None,Direct Connection,33.5575697,-117.6763089,2022-08-18
Laguna Niguel,L03-455-5,7/6/2022,Dry,Unknown,Priority,41,NA,NA,NA,Below Average Discharge,Not present,Not present,Wasp nest,Not Present (0 Items),,,,None,None - Flow Infiltrates or Outfall is Dry,33.54240864,-117.6750535,2022-07-06
Laguna Niguel,L03-455-5,9/21/2022,Dry,Unknown,Priority,41,NA,NA,NA,Below Average Discharge,Not present,Not present,,Not Present (0 Items),,,,,None - Flow Infiltrates or Outfall is Dry,33.54240864,-117.6750535,2022-09-21
Laguna Niguel,L03-455-6,7/6/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,,None,None - Flow Infiltrates or Outfall is Dry,33.54323122,-117.6748569,2022-07-06
Laguna Niguel,L03-455-6,9/21/2022,Dry,Unknown,Not A Priority,NA,NA,NA,NA,Equal,Not present,Not present,,Sparse (<10 Items),In flow path of outfall,,,,None - Flow Infiltrates or Outfall is Dry,33.54323122,-117.6748569,2022-09-21
Laguna Niguel,L03-455-7,7/6/2022,Flowing,Yes,Priority,56,NA,0.009,0.004,Below Average Discharge,,,,,,,,,,33.54509046,-117.6746664,2022-07-06
Laguna Niguel,L03-455-7,7/6/2022,Flowing,Yes,Priority,56,6856,0.008571,NA,Below Average Discharge,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,,None,Direct Connection,33.54509046,-117.6746664,2022-07-06
Laguna Niguel,L03-455-7,9/21/2022,Flowing,Yes,Priority,56,6270,0.02,NA,Below Average Discharge,Not present,Not present,,Moderate (11-50 Items),In flow path of outfall,,,,Direct Connection,33.54509046,-117.6746664,2022-09-21
