FacilityID,Date,FlowConnectivity,FlowCondition,PersistentFlow,SampleDry,FloatDischargeCFS,VolumeDischargeCFS,rain_gage,wet_within_72,GlobalID,QInscfs
J01-9364-4,2022-06-28,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,SULPHURCREEK,FALSE,{51AB1EDB-AED9-40F1-83A8-6391511D250C},0
J01-9364-4,2022-08-29,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,SULPHURCREEK,FALSE,{51AB1EDB-AED9-40F1-83A8-6391511D250C},0
J01-9377-1,2022-06-21,Direct Connection,Pooled or Ponded,Unknown,Yes,NA,NA,ELTORO,FALSE,{3B4E9F27-523C-4F6B-A986-26E060B631EF},NA
J01-9377-1,2022-06-30,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,Yes,0,0,ELTORO,FALSE,{3B4E9F27-523C-4F6B-A986-26E060B631EF},0
J01-9377-1,2022-08-18,Direct Connection,,Unknown,Yes,0.001,NA,ELTORO,FALSE,{3B4E9F27-523C-4F6B-A986-26E060B631EF},0.001
J01-9377-2 (J01TBN8),2022-06-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,ELTORO,FALSE,{0F35296A-ECE2-4C19-BD75-E6442A50F57C},0
J01-9377-2 (J01TBN8),2022-09-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,ELTORO,FALSE,{0F35296A-ECE2-4C19-BD75-E6442A50F57C},0
J01-9782-1 (J01TBN3),2022-06-21,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,ELTORO,FALSE,{91E48869-6AD5-41B7-8A9B-640ED2238B02},NA
J01-9782-1 (J01TBN3),2022-08-18,Direct Connection,Flowing,Unknown,,0.004835,NA,ELTORO,FALSE,{91E48869-6AD5-41B7-8A9B-640ED2238B02},0.004835
J01-9785-1,2022-08-01,Direct Connection,Flowing,Yes,,0.004583,NA,ELTORO,FALSE,{91338D15-19F3-4699-83FA-4C17B2C07214},0.004583
J01-9785-1,2022-09-14,Direct Connection,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{91338D15-19F3-4699-83FA-4C17B2C07214},NA
J01-9992-1 (J01P27),2022-06-23,Direct Connection,Flowing,Yes,Yes,0.039616,NA,SULPHURCREEK,FALSE,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},0.039616
J01-9992-1 (J01P27),2022-07-01,Direct Connection,Flowing,Yes,Yes,0.025625,0.037,SULPHURCREEK,FALSE,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},0.0313125
J01-9992-1 (J01P27),2022-09-08,Direct Connection,Flowing,Yes,Yes,NA,0.025,SULPHURCREEK,FALSE,{DE6D1FF7-E755-41CE-9C57-7D26DD867CD5},0.025
J03-9215-1,2022-06-23,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{58BF1710-6532-44A0-A4C2-487B6E14647C},NA
J03-9215-1,2022-08-04,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{58BF1710-6532-44A0-A4C2-487B6E14647C},NA
J03-9215-3,2022-06-23,Direct Connection,Flowing,Yes,,0.010218,NA,SULPHURCREEK,FALSE,{096C0676-4771-492B-BAA6-AA39CD7F88A8},0.010218
J03-9215-3,2022-07-08,Direct Connection,Flowing,Yes,,0.0178235,0.238,SULPHURCREEK,FALSE,{096C0676-4771-492B-BAA6-AA39CD7F88A8},0.12791175
J03-9215-3,2022-08-04,Direct Connection,Flowing,Yes,,0.0259965,0.008,SULPHURCREEK,FALSE,{096C0676-4771-492B-BAA6-AA39CD7F88A8},0.01699825
J03-9216-1 (J03P01),2022-07-06,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{B312B909-A14D-4AAA-BB21-74D113055A73},NA
J03-9216-1 (J03P01),2022-07-08,Direct Connection,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{B312B909-A14D-4AAA-BB21-74D113055A73},NA
J03-9216-1 (J03P01),2022-08-04,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{B312B909-A14D-4AAA-BB21-74D113055A73},NA
J03-9216-2,2022-08-04,Partial - Significant Distance,Flowing,Yes,,2.93494,NA,SULPHURCREEK,FALSE,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},2.93494
J03-9216-2,2022-08-08,Partial - Significant Distance,Flowing,Yes,,0.4,NA,SULPHURCREEK,FALSE,{BDBAD671-CCD0-47D1-B121-7ED3242CBA94},0.4
J03-9216-5,2022-08-04,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{17A4B537-06CB-4914-A505-354A1A88B51B},NA
J03-9221-1 (J03P02),2022-06-15,Undetermined,Flowing,Yes,Yes,NA,0.049,SULPHURCREEK,FALSE,{B349E3D1-F18C-44B9-A54D-9A854691EE96},0.049
J03-9221-1 (J03P02),2022-07-08,Unsafe to Access,Flowing,Yes,Yes,0.09042800000000001,0.708,SULPHURCREEK,FALSE,{B349E3D1-F18C-44B9-A54D-9A854691EE96},0.39921399999999996
J03-9221-1 (J03P02),2022-08-18,Undetermined,Flowing,Yes,Yes,NA,0.03,SULPHURCREEK,FALSE,{B349E3D1-F18C-44B9-A54D-9A854691EE96},0.03
J03-9234-5,2022-07-06,Direct Connection,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{0C213075-F3BE-4202-976F-D3228FB0F4F4},NA
J03-9234-6,2022-07-06,Partial - Significant Distance,Flowing,Yes,,0.07619,NA,SULPHURCREEK,FALSE,{7C898AE5-6408-40A7-9258-052F87B864B0},0.07619
J03-9234-6,2022-07-08,Partial - Significant Distance,Flowing,Yes,,0.1254,0.16,SULPHURCREEK,FALSE,{7C898AE5-6408-40A7-9258-052F87B864B0},0.1427
J03-9234-6,2022-08-31,Partial - Significant Distance,Flowing,Yes,,NA,0.034,SULPHURCREEK,FALSE,{7C898AE5-6408-40A7-9258-052F87B864B0},0.034
J03-9234-8,2022-07-06,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{8BA658D6-F310-40D7-B7B1-E1E606ACD5A0},NA
J03-9234-8,2022-08-31,Partial - Significant Distance,Flowing,Yes,,0.748276,NA,SULPHURCREEK,FALSE,{8BA658D6-F310-40D7-B7B1-E1E606ACD5A0},0.748276
J03-9368-1 (J03TBN1),2022-06-23,Direct Connection,Flowing,Yes,,0.003822,NA,SULPHURCREEK,FALSE,{AAC8234A-5800-4230-971C-633C406E3E23},0.003822
J03-9368-1 (J03TBN1),2022-07-08,Direct Connection,Flowing,Yes,,8.705e-4,0.883,SULPHURCREEK,FALSE,{AAC8234A-5800-4230-971C-633C406E3E23},0.44193525
J03-9368-1 (J03TBN1),2022-08-04,Direct Connection,Flowing,Yes,,0.0050425,NA,SULPHURCREEK,FALSE,{AAC8234A-5800-4230-971C-633C406E3E23},0.0050425
J03-9368-2 (J03TBN2),2022-06-23,Direct Connection,Flowing,Yes,,NA,0.004,SULPHURCREEK,FALSE,{1C987AEE-54C0-42B5-B602-B59EEAD42C2F},0.004
J03-9368-2 (J03TBN2),2022-07-06,Direct Connection,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{1C987AEE-54C0-42B5-B602-B59EEAD42C2F},NA
J03-9368-2 (J03TBN2),2022-07-08,Direct Connection,Flowing,Yes,,0.006761,0.005,SULPHURCREEK,FALSE,{1C987AEE-54C0-42B5-B602-B59EEAD42C2F},0.0058805
J03-9368-2 (J03TBN2),2022-08-04,Direct Connection,Flowing,Yes,,NA,0.004,SULPHURCREEK,FALSE,{1C987AEE-54C0-42B5-B602-B59EEAD42C2F},0.004
J04-9249-1,2022-07-08,Direct Connection,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{43A0D628-01FD-445E-A64B-B954122259BC},NA
J05-9255-1 (J05P01),2022-08-02,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{E4A45859-C01A-4CBC-8954-294275402A42},NA
J05-9255-1 (J05P01),2022-09-21,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,SULPHURCREEK,FALSE,{E4A45859-C01A-4CBC-8954-294275402A42},NA
J05-9271-6,2022-08-02,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,SULPHURCREEK,FALSE,{9F5547EB-7FE3-461F-9EBD-E58B4219028B},NA
J05-9271-6,2022-09-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,SULPHURCREEK,FALSE,{9F5547EB-7FE3-461F-9EBD-E58B4219028B},0
J05-9800-2,2022-07-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,ELTORO,FALSE,{B447E738-FF4A-4052-83BC-409EFD00CC89},0
J05-9800-2,2022-09-21,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,ELTORO,FALSE,{B447E738-FF4A-4052-83BC-409EFD00CC89},0
J06-10011-1 (J06P01),2022-06-23,Direct Connection,Flowing,Yes,Yes,0.509735,NA,ELTORO,FALSE,{7C52C879-6B87-4321-BC5A-53A3242DD1D9},0.509735
J06-10011-1 (J06P01),2022-07-13,Direct Connection,Flowing,Yes,Yes,0.487615,NA,ELTORO,FALSE,{7C52C879-6B87-4321-BC5A-53A3242DD1D9},0.487615
J06-10011-1 (J06P01),2022-08-22,Direct Connection,Flowing,Yes,Yes,NA,0.064,ELTORO,FALSE,{7C52C879-6B87-4321-BC5A-53A3242DD1D9},0.064
J06-9079-1 (J06P03),2022-06-23,Direct Connection,Flowing,Yes,Yes,0.096183,NA,ELTORO,FALSE,{53829E67-0A5F-46C8-B493-01AC3AA4C5CD},0.096183
J06-9079-1 (J06P03),2022-07-13,Direct Connection,Flowing,Yes,Yes,0.0485,0.019,ELTORO,FALSE,{53829E67-0A5F-46C8-B493-01AC3AA4C5CD},0.03375
J06-9079-1 (J06P03),2022-08-22,Direct Connection,Flowing,Yes,Yes,NA,0.011,ELTORO,FALSE,{53829E67-0A5F-46C8-B493-01AC3AA4C5CD},0.011
J07-9022-1,2022-06-21,Direct Connection,Flowing,Yes,,NA,NA,ELTORO,FALSE,{02D8D354-0554-49DF-972A-8BC374B3901B},NA
J07-9022-1,2022-08-09,Partial - Significant Distance,Flowing,Yes,,7.71e-4,NA,ELTORO,FALSE,{02D8D354-0554-49DF-972A-8BC374B3901B},7.71e-4
J07-9022-6,2022-06-21,Partial - Significant Distance,Flowing,Yes,,0,NA,ELTORO,FALSE,{ED29B567-C00D-4966-8303-25068F8D1BA9},0
J07-9022-6,2022-08-09,Partial - Significant Distance,Flowing,Yes,,0.001214,NA,ELTORO,FALSE,{ED29B567-C00D-4966-8303-25068F8D1BA9},0.001214
J07-9109-1,2022-06-21,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{3908761B-6044-44D9-8A7D-054C86F6D560},NA
J07-9109-1,2022-08-09,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{3908761B-6044-44D9-8A7D-054C86F6D560},NA
J07-9109-2,2022-06-21,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{728A2E3D-7087-4CD0-B654-7272B31DFBFB},NA
J07-9109-2,2022-08-09,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{728A2E3D-7087-4CD0-B654-7272B31DFBFB},NA
J07-9109-4 (J07P02),2022-06-21,Partial - Significant Distance,Flowing,Yes,,0.0358295,0.007,ELTORO,FALSE,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},0.02141475
J07-9109-4 (J07P02),2022-06-30,Partial - Significant Distance,Flowing,Yes,,0.024,NA,ELTORO,FALSE,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},0.024
J07-9109-4 (J07P02),2022-08-09,Partial - Significant Distance,Flowing,Yes,,NA,0.004,ELTORO,FALSE,{D0C41BF9-0216-43F4-8129-6EAC01EF1A03},0.004
J07-9110-1,2022-06-21,Partial - Significant Distance,Flowing,Yes,,NA,0.001,ELTORO,FALSE,{FF27122D-EC98-40FC-AE70-E4A3069DC586},0.001
J07-9110-2,2022-06-21,Direct Connection,Flowing,Yes,,0.002132,0.002,ELTORO,FALSE,{E0B5BFB0-FF67-482C-B2DA-0715F995C4FF},0.002066
J07-9110-2,2022-06-30,Direct Connection,Flowing,Yes,,7.930000000000001e-4,0,ELTORO,FALSE,{E0B5BFB0-FF67-482C-B2DA-0715F995C4FF},3.9650000000000004e-4
J07-9110-2,2022-08-09,Direct Connection,Pooled or Ponded,Yes,,NA,NA,ELTORO,FALSE,{E0B5BFB0-FF67-482C-B2DA-0715F995C4FF},NA
J07-9110-3,2022-06-21,Partial - Significant Distance,Pooled or Ponded,Unknown,,NA,NA,ELTORO,FALSE,{07F87B16-7752-4E0E-8F95-EF62C174A7F6},NA
J07-9110-3,2022-06-30,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,ELTORO,FALSE,{07F87B16-7752-4E0E-8F95-EF62C174A7F6},0
J07-9110-3,2022-08-09,Direct Connection,Flowing,Unknown,,NA,0.002,ELTORO,FALSE,{07F87B16-7752-4E0E-8F95-EF62C174A7F6},0.002
K01-12032-2 (K01P11),2022-07-06,Partial - Significant Distance,Flowing,Yes,,0.015248,NA,SULPHURCREEK,FALSE,{E67A1268-C953-4917-B816-D1F3A4A6B507},0.015248
K01-12032-2 (K01P11),2022-08-31,Partial - Significant Distance,Flowing,Yes,,NA,0.033,SULPHURCREEK,FALSE,{E67A1268-C953-4917-B816-D1F3A4A6B507},0.033
K01-12036-1,2022-07-06,Undetermined,Flowing,Yes,,0.009929,NA,SULPHURCREEK,FALSE,{492C91F2-212B-4A73-AC7B-107B61D9565F},0.009929
K01-12036-1,2022-08-31,Undetermined,Flowing,Yes,,0.008434,NA,SULPHURCREEK,FALSE,{492C91F2-212B-4A73-AC7B-107B61D9565F},0.008434
K01-12036-10,2022-07-06,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,SULPHURCREEK,FALSE,{27FDF89D-E07B-4D2F-B470-DABB97A9B098},0
K01-12036-10,2022-08-31,Undetermined,Flowing,Unknown,,NA,0.001,SULPHURCREEK,FALSE,{27FDF89D-E07B-4D2F-B470-DABB97A9B098},0.001
K01-12036-5,2022-07-06,Undetermined,Flowing,Yes,,0.068235,NA,SULPHURCREEK,FALSE,{70D2A74D-50ED-4574-A929-01CB7DE7D000},0.068235
K01-12036-5,2022-08-31,Undetermined,Flowing,Yes,,NA,NA,SULPHURCREEK,FALSE,{70D2A74D-50ED-4574-A929-01CB7DE7D000},NA
K01-12058-1 (K01P08),2022-08-02,Direct Connection,Flowing,Yes,,NA,0.016,SULPHURCREEK,FALSE,{4C787A96-7840-4AA0-A3A0-EED192734DC5},0.016
K01-12058-2 (K01P09),2022-08-02,Direct Connection,Flowing,Yes,,NA,0.045,SULPHURCREEK,FALSE,{C0A795C3-4CA5-4BFE-8231-8B5C12D45F49},0.045
K01-12062-1,2022-08-02,Direct Connection,Pooled or Ponded,Yes,,0.122807,NA,SULPHURCREEK,FALSE,{DC0E267C-D89F-4834-A9CC-2BD31EFE7608},0.122807
K01-12126-1 (K01S01),2022-06-22,Direct Connection,Flowing,Yes,Yes,0.46478,NA,DANAPOINT,FALSE,{4B95CAAB-3599-40EF-9AEE-7EB6755113A0},0.46478
K01-12138-1 (K01TBN1),2022-08-02,Undetermined,Flowing,Yes,,0.0045,NA,SULPHURCREEK,FALSE,{7ED3F0F9-CFEC-4D38-9A33-AE41DCBA38E4},0.0045
K01-12155-1,2022-07-06,Undetermined,Pooled or Ponded,Unknown,,NA,NA,DANAPOINT,FALSE,{EBDB95ED-DC08-4DB5-AB03-DFC2113EF527},NA
K01-12155-1,2022-08-31,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,DANAPOINT,FALSE,{EBDB95ED-DC08-4DB5-AB03-DFC2113EF527},0
K01-12155-5,2022-07-06,Undetermined,Flowing,Unknown,,NA,NA,SULPHURCREEK,FALSE,{F833764D-81C4-470D-A336-B65195ACDDC4},NA
K01-12155-5,2022-08-31,Undetermined,Other - See Comments,Unknown,,NA,NA,SULPHURCREEK,FALSE,{F833764D-81C4-470D-A336-B65195ACDDC4},NA
K01-12156-6,2022-07-20,Direct Connection,Flowing,Yes,,0.396,NA,DANAPOINT,FALSE,{6FB4B9E1-BF9D-41E3-9F3C-703D525B54CD},0.396
K01-12156-6,2022-08-18,Direct Connection,Flowing,Yes,,NA,NA,DANAPOINT,FALSE,{6FB4B9E1-BF9D-41E3-9F3C-703D525B54CD},NA
K01-12159-2,2022-06-22,Direct Connection,Flowing,Yes,Yes,NA,0.088,DANAPOINT,FALSE,{65F1D30E-87BC-47F7-B9E2-465FBE713D1F},0.088
K01-12159-3,2022-06-22,Direct Connection,Flowing,Yes,,NA,0.007,DANAPOINT,FALSE,{1F0E78FB-3598-45E9-815F-9C59DD96DF84},0.007
K01-12177-1 (K01P07),2022-06-15,Undetermined,Flowing,Yes,Yes,0.20950000000000002,0.039,SULPHURCREEK,FALSE,{162A0934-2B45-4BAA-AE44-99D3683A47DD},0.12425000000000001
K01-12177-1 (K01P07),2022-08-18,Undetermined,Flowing,Yes,Yes,NA,0.024,SULPHURCREEK,FALSE,{162A0934-2B45-4BAA-AE44-99D3683A47DD},0.024
L01-125-1,2022-07-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{5903AEF4-DE41-446D-A41A-D3014DC8AD95},NA
L01-125-1,2022-09-20,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{5903AEF4-DE41-446D-A41A-D3014DC8AD95},NA
L01-125-2,2022-07-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{DD113CF9-A134-4437-879D-CFE4C8EED772},NA
L01-125-2,2022-09-20,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{DD113CF9-A134-4437-879D-CFE4C8EED772},NA
L01-125-3,2022-07-28,Undetermined,Flowing,Yes,,NA,NA,TRABUCO,FALSE,{33F2DC65-D927-4563-A681-F329D3F84B4B},NA
L01-125-3,2022-09-20,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{33F2DC65-D927-4563-A681-F329D3F84B4B},NA
L01-218-3,2022-07-26,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{25F85F71-7FE3-41F6-8378-9EEFE4D6A956},NA
L01-218-4,2022-07-26,Partial - Significant Distance,Flowing,Yes,,0.02475,NA,TRABUCO,FALSE,{D52E55F3-6949-417B-9C1F-389593FDF685},0.02475
L01-223-1 (L08TBN1),2022-06-27,Undetermined,Flowing,Yes,,8.33e-4,NA,TRABUCO,FALSE,{920D2923-A87E-4A8C-864D-656B0F11E23F},8.33e-4
L01-223-1 (L08TBN1),2022-08-25,Undetermined,Flowing,Yes,,NA,0,TRABUCO,FALSE,{920D2923-A87E-4A8C-864D-656B0F11E23F},0
L01-242-1 (L07P16),2022-08-08,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{05755366-E1F2-43BB-A1D6-AC836A44F681},NA
L01-242-1 (L07P16),2022-09-19,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{05755366-E1F2-43BB-A1D6-AC836A44F681},NA
L01-303-2,2022-08-08,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{DAFC646C-2E59-4F16-8AFD-87B9CAE3A703},NA
L01-303-2,2022-09-19,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{DAFC646C-2E59-4F16-8AFD-87B9CAE3A703},NA
L01-303-3,2022-08-01,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{688139FB-EB67-42AA-848F-C55BF48E6B28},NA
L01-303-3,2022-09-26,Partial - Significant Distance,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{688139FB-EB67-42AA-848F-C55BF48E6B28},NA
L01-303-4,2022-08-01,Direct Connection,Flowing,Yes,,NA,0.019,TRABUCO,FALSE,{DB68879F-B851-41C0-A2C5-D131F57A6ECE},0.019
L01-303-4,2022-09-26,Direct Connection,Flowing,Yes,,0.018,NA,TRABUCO,FALSE,{DB68879F-B851-41C0-A2C5-D131F57A6ECE},0.018
L01-335-1,2022-06-17,Direct Connection,Flowing,Yes,,0.006928500000000001,0.004,TRABUCO,FALSE,{6D056363-053F-45F5-B22A-6CAFD80C097C},0.00546425
L01-335-1,2022-09-27,Direct Connection,Flowing,Yes,,NA,0.001,TRABUCO,FALSE,{6D056363-053F-45F5-B22A-6CAFD80C097C},0.001
L01-335-2,2022-06-17,Direct Connection,Pooled or Ponded,Unknown,,NA,NA,TRABUCO,FALSE,{65AC036E-2F1F-4616-A08A-A4E7B1D38A11},NA
L01-335-2,2022-09-27,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,TRABUCO,FALSE,{65AC036E-2F1F-4616-A08A-A4E7B1D38A11},0
L01-340-1,2022-06-16,Undetermined,Flowing,Yes,Yes,0.0194145,0.008,TRABUCO,FALSE,{F1CABFEE-57C0-45D7-805A-974B2EF723C4},0.01370725
L01-340-1,2022-08-24,Undetermined,Flowing,Yes,Yes,0.001809,NA,TRABUCO,FALSE,{F1CABFEE-57C0-45D7-805A-974B2EF723C4},0.001809
L01-391-1,2022-08-01,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{6ACA9BF4-266E-4C31-8EE3-75E5E450E45E},NA
L01-391-1,2022-09-19,Direct Connection,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{6ACA9BF4-266E-4C31-8EE3-75E5E450E45E},NA
L01-391-3,2022-08-01,Direct Connection,Flowing,Yes,,0.011667,NA,TRABUCO,FALSE,{D41F3C53-33B2-4B80-AB83-E479787A54C2},0.011667
L01-391-3,2022-09-19,Direct Connection,Flowing,Yes,,0.03,NA,TRABUCO,FALSE,{D41F3C53-33B2-4B80-AB83-E479787A54C2},0.03
L01-404-1,2022-06-16,Undetermined,Flowing,Yes,Yes,NA,0.025,TRABUCO,FALSE,{CDCEA1A5-E306-47B2-8945-27B1CD159C10},0.025
L01-404-1,2022-08-24,Undetermined,Flowing,Yes,Yes,0.084647,NA,TRABUCO,FALSE,{CDCEA1A5-E306-47B2-8945-27B1CD159C10},0.084647
L01-404-2,2022-06-16,Undetermined,Flowing,Yes,,NA,0.021,TRABUCO,FALSE,{1E7BFD35-867B-41B5-9FF2-898F561EE27E},0.021
L01-404-2,2022-08-24,Undetermined,Flowing,Yes,,0.021,NA,TRABUCO,FALSE,{1E7BFD35-867B-41B5-9FF2-898F561EE27E},0.021
L01-414-1,2022-09-19,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{68338A6C-A350-4B2E-90E5-C3AA59C3D9A8},NA
L01-414-2,2022-08-01,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,TRABUCO,FALSE,{424C51CE-5569-476A-8035-40A7D01575A0},0
L01-414-2,2022-09-19,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,TRABUCO,FALSE,{424C51CE-5569-476A-8035-40A7D01575A0},0
L01-414-3,2022-06-16,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,0.015,NA,TRABUCO,FALSE,{834FBB7A-F243-4A65-80C6-AE688690CC0C},0.015
L01-414-3,2022-08-24,Undetermined,Pooled or Ponded,Yes,,NA,NA,TRABUCO,FALSE,{834FBB7A-F243-4A65-80C6-AE688690CC0C},NA
L01-458-1,2022-05-31,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Unknown,,NA,NA,PALISADES,FALSE,{12B3B591-46D7-4C09-AEF9-0205FDAAC85B},NA
L01-458-1,2022-09-27,None - Flow Infiltrates or Outfall is Dry,Flowing,Unknown,,NA,0,PALISADES,FALSE,{12B3B591-46D7-4C09-AEF9-0205FDAAC85B},0
L01-471-1,2022-05-31,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,PALISADES,FALSE,{1506D8A1-1F63-4CAD-971D-6107A4006B15},0
L01-471-1,2022-09-27,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,PALISADES,FALSE,{1506D8A1-1F63-4CAD-971D-6107A4006B15},0
L01-494-1,2022-05-31,Undetermined,Flowing,Yes,,0.1575,NA,PALISADES,FALSE,{8ACA8CDD-8242-491B-B115-35F97FCC3354},0.1575
L01-494-1,2022-09-27,None - Flow Infiltrates or Outfall is Dry,Flowing,Yes,,NA,0.022,PALISADES,FALSE,{8ACA8CDD-8242-491B-B115-35F97FCC3354},0.022
L01-514-1,2022-06-17,Undetermined,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{7A6C6799-AB04-4589-9958-5C84F3951CFC},NA
L01-514-1,2022-09-23,Undetermined,Flowing,Yes,,0.0048,NA,PALISADES,FALSE,{7A6C6799-AB04-4589-9958-5C84F3951CFC},0.0048
L01-517-3,2022-05-31,Undetermined,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{6F4B7E90-A083-4289-A5D6-7E68F3E03AB8},NA
L01-517-3,2022-09-27,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{6F4B7E90-A083-4289-A5D6-7E68F3E03AB8},NA
L01-517-6,2022-05-31,Undetermined,Flowing,Yes,,0.03,NA,PALISADES,FALSE,{E5E98A69-01CF-4012-9B40-92C07976275C},0.03
L01-517-6,2022-09-27,Undetermined,Flowing,Yes,,NA,0.007,PALISADES,FALSE,{E5E98A69-01CF-4012-9B40-92C07976275C},0.007
L01-517-7,2022-05-31,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,PALISADES,FALSE,{91F7E163-76E3-4E60-AF6E-ABEF81E97F26},0
L01-517-7,2022-09-27,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,PALISADES,FALSE,{91F7E163-76E3-4E60-AF6E-ABEF81E97F26},0
L01-556-1,2022-07-28,Undetermined,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{4FE0C734-3649-4717-871F-7A7EB924A050},NA
L01-556-1,2022-08-10,Undetermined,Flowing,Yes,,0.011494,NA,PALISADES,FALSE,{4FE0C734-3649-4717-871F-7A7EB924A050},0.011494
L01-601-1,2022-06-28,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,DANAPOINT,FALSE,{6E297702-950B-4ECB-93F7-6D8CE2CE5D00},0
L01-601-1,2022-09-14,None - Flow Infiltrates or Outfall is Dry,Dry,Unknown,,0,0,DANAPOINT,FALSE,{6E297702-950B-4ECB-93F7-6D8CE2CE5D00},0
L01-602-2,2022-08-10,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{99C5D60F-3F09-4BFF-AE19-4319471F81EF},NA
L01-618-1,2022-07-28,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{6BB44A0A-D350-479C-9FC0-20CB027EB52D},NA
L01-618-1,2022-08-10,None - Flow Infiltrates or Outfall is Dry,Pooled or Ponded,Yes,,NA,NA,PALISADES,FALSE,{6BB44A0A-D350-479C-9FC0-20CB027EB52D},NA
