FACILITYID,JURISDICTI,PRIORITY,LSPC_LU_DESC,LSPC_LU_CODE,RC_Group,EMC_Group,RC,Shape_Area,AREA,PERCENTAGE,JTribArea,EMCgroupArea,PerCentLU,,,,,,Agriculture ,Business ,Developed Open Space ,Highway/ Arterial ,Multi-Family ,Open Space ,Single Family ,Surface Street ,Water ,,,
I01-11093-2,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,12789494.1,293.6075586,98.93065841,8675.433916,5151.062692,59.37527439,,,,L03-455-2,SAN JUAN CAPISTRANO,1,OSLOW,77,Open Space,open space,0.078,51539.78229,1.183195327,2.592631162,3464.826613,700.1696999,20.20792894
I01-11015-2,LAGUNA BEACH,1,COMM,10,Commercial,business,0.486,48457.19388,1.112428552,0.453352685,8675.433916,244.964705,2.823659397,,,,L03-455-3 (L03P37),SAN JUAN CAPISTRANO,1,COMM,10,Commercial,business,0.486,303250.6378,6.961704565,9.649326862,3464.826613,327.3389305,9.447483729
I01-11015-2,LAGUNA BEACH,1,UTIL,40,Commercial,business,0.486,118274.4621,2.715218899,1.106544573,8675.433916,244.964705,2.823659397,,,,L03-455-3 (L03P37),SAN JUAN CAPISTRANO,1,EDU,20,Education,business,0.422,1737938.302,39.8977331,55.30057534,3464.826613,327.3389305,9.447483729
I01-11015-2,LAGUNA BEACH,1,RESSFH,50,Single Family Residential,single family,0.405,128987.594,2.961159549,1.2067738,8675.433916,1520.914314,17.53127658,,,,L03-455-3 (L03P37),SAN JUAN CAPISTRANO,1,UTIL,40,Commercial,business,0.486,6155.244664,0.141305539,0.195857684,3464.826613,327.3389305,9.447483729
I01-11015-2,LAGUNA BEACH,1,RESMF,52,Multi-family Residential,multi-family,0.485,7866.149779,0.180582673,0.073593616,8675.433916,260.1326427,2.998497196,,,,L03-455-3 (L03P37),SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,64130.92353,1.472249313,2.040623055,3464.826613,1070.297336,30.89035773
I01-11015-2,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,68924.87518,1.582303739,0.644842895,8675.433916,478.2922327,5.513179367,,,,L03-455-3 (L03P37),SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,294739.404,6.76631274,9.378502445,3464.826613,388.6333127,11.21652989
I01-11015-2,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,242456.3921,5.566055142,2.268357853,8675.433916,689.350204,7.946002594,,,,L03-455-3 (L03P37),SAN JUAN CAPISTRANO,1,TRFWY,61,Freeway,highway/arterial,0.45,640520.4297,14.70438457,20.38113104,3464.826613,50.40070414,1.454638566
I01-11015-2,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,10073663.97,231.2604285,94.2465347,8675.433916,5151.062692,59.37527439,,,,L03-455-3 (L03P37),SAN JUAN CAPISTRANO,1,TROTH,62,Streets and Roads,surface street,0.471,95978.0182,2.20336093,3.05398622,3464.826613,388.6333127,11.21652989
I01-11487-1,LAGUNA BEACH,1,COMM,10,Commercial,business,0.486,3247829.307,74.56019968,1.329953387,8675.433916,244.964705,2.823659397,,,,L01-747-1,SAN JUAN CAPISTRANO,1,COMM,10,Commercial,business,0.486,132319.0237,3.037638958,2.290558536,3464.826613,327.3389305,9.447483729
I01-11487-1,LAGUNA BEACH,1,EDU,20,Education,business,0.422,378900.9304,8.69840326,0.155156115,8675.433916,244.964705,2.823659397,,,,L01-747-1,SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,1054101.333,24.19893365,18.24742006,3464.826613,1070.297336,30.89035773
I01-11487-1,LAGUNA BEACH,1,IND,30,Light Industrial,business,0.414,1457328.395,33.45579028,0.596761299,8675.433916,244.964705,2.823659397,,,,L01-747-1,SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,299088.3274,6.866150682,5.177481681,3464.826613,388.6333127,11.21652989
I01-11487-1,LAGUNA BEACH,1,UTIL,40,Commercial,business,0.486,309119.4503,7.096434498,0.126581301,8675.433916,244.964705,2.823659397,,,,L01-747-1,SAN JUAN CAPISTRANO,1,OSDEV,75,Developed Open Space,developed open space,0.217,372283.9288,8.546497198,6.44456184,3464.826613,389.15702,11.23164485
I01-11487-1,LAGUNA BEACH,1,RESSFH,50,Single Family Residential,single family,0.405,23973653.05,550.3615461,9.816969449,8675.433916,1520.914314,17.53127658,,,,L01-747-1,SAN JUAN CAPISTRANO,1,OSLOW,77,Open Space,open space,0.078,3918921.741,89.96642371,67.83997792,3464.826613,700.1696999,20.20792894
I01-11487-1,LAGUNA BEACH,1,RESSFL,51,Single Family Residential,single family,0.405,12639.7108,0.290168994,0.005175834,8675.433916,1520.914314,17.53127658,,,,L01-747-2,SAN JUAN CAPISTRANO,1,EDU,20,Education,business,0.422,49209.44293,1.129697883,0.469500574,3464.826613,327.3389305,9.447483729
I01-11487-1,LAGUNA BEACH,1,RESMF,52,Multi-family Residential,multi-family,0.485,8918296.974,204.7367458,3.651952781,8675.433916,260.1326427,2.998497196,,,,L01-747-2,SAN JUAN CAPISTRANO,1,IND,30,Light Industrial,business,0.414,1439.133382,0.033038089,0.013730575,3464.826613,327.3389305,9.447483729
I01-11487-1,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,11403792.88,261.7961086,4.669738317,8675.433916,478.2922327,5.513179367,,,,L01-747-2,SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,2989311.196,68.62541675,28.52060986,3464.826613,1070.297336,30.89035773
I01-11487-1,LAGUNA BEACH,1,TRFWY,61,Freeway,highway/arterial,0.45,10387445.96,238.4639007,4.253554494,8675.433916,238.4639007,2.748725919,,,,L01-747-2,SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,893245.9701,20.50618786,8.522337806,3464.826613,388.6333127,11.21652989
I01-11487-1,LAGUNA BEACH,1,TROTH,62,Streets and Roads,surface street,0.471,2755.952984,0.063268228,0.001128535,8675.433916,478.2922327,5.513179367,,,,L01-747-2,SAN JUAN CAPISTRANO,1,OSAGIR,70,Agriculture,agriculture,0.222,406999.9335,9.343470191,3.88313078,3464.826613,217.2805725,6.271037393
I01-11487-1,LAGUNA BEACH,1,OSAGIR,70,Agriculture,agriculture,0.222,2441406.494,56.04720522,0.999731368,8675.433916,88.26900078,1.017459203,,,,L01-747-2,SAN JUAN CAPISTRANO,1,OSDEV,75,Developed Open Space,developed open space,0.217,1494818.475,34.31644753,14.26185892,3464.826613,389.15702,11.23164485
I01-11487-1,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,12315678.73,282.730211,5.043146389,8675.433916,689.350204,7.946002594,,,,L01-747-2,SAN JUAN CAPISTRANO,1,OSLOW,77,Open Space,open space,0.078,4624417.555,106.1624438,44.12093631,3464.826613,700.1696999,20.20792894
I01-11487-1,LAGUNA BEACH,1,OSIRR,76,Developed Open Space,developed open space,0.217,10441459.63,239.7038889,4.275672548,8675.433916,689.350204,7.946002594,,,,L01-747-2,SAN JUAN CAPISTRANO,1,OSWET,79,Open Space,open space,0.078,21789.91467,0.50022961,0.2078946,3464.826613,700.1696999,20.20792894
I01-11487-1,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,154763341.7,3552.891662,63.37402958,8675.433916,5151.062692,59.37527439,,,,L02-502-1,SAN JUAN CAPISTRANO,1,COMM,10,Commercial,business,0.486,6531.845536,0.14995114,0.040339095,3464.826613,327.3389305,9.447483729
I01-11487-1,LAGUNA BEACH,1,OSFOR,78,Open Space,open space,0.078,796697.9484,18.2897414,0.326239785,8675.433916,5151.062692,59.37527439,,,,L02-502-1,SAN JUAN CAPISTRANO,1,UTIL,40,Commercial,business,0.486,331570.0791,7.611832079,2.047696465,3464.826613,327.3389305,9.447483729
I01-11487-1,LAGUNA BEACH,1,OSWET,79,Open Space,open space,0.078,2685148.376,61.64277128,1.099541214,8675.433916,5151.062692,59.37527439,,,,L02-502-1,SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,7722446.135,177.2836782,47.69195608,3464.826613,1070.297336,30.89035773
I01-11487-1,LAGUNA BEACH,1,WATER,80,Water,water,0.797,67807.62921,1.556655198,0.027766541,8675.433916,3.984223979,0.045925357,,,,L02-502-1,SAN JUAN CAPISTRANO,1,RESMF,52,Multi-family Residential,multi-family,0.485,17708.97213,0.406543686,0.109366321,3464.826613,321.5490378,9.280378896
I01-11487-1,LAGUNA BEACH,1,OSVAC,9999,Developed Open Space,developed open space,0.217,23352.43303,0.53610024,0.009562586,8675.433916,689.350204,7.946002594,,,,L02-502-1,SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,954476.2044,21.91184624,5.894613757,3464.826613,388.6333127,11.21652989
I01-11487-2,LAGUNA BEACH,1,COMM,10,Commercial,business,0.486,547987.1986,12.58010539,9.337628086,8675.433916,244.964705,2.823659397,,,,L02-502-1,SAN JUAN CAPISTRANO,1,TRFWY,61,Freeway,highway/arterial,0.45,9637.990706,0.221258707,0.059521895,3464.826613,50.40070414,1.454638566
I01-11487-2,LAGUNA BEACH,1,EDU,20,Education,business,0.422,170844.508,3.922065917,2.911167414,8675.433916,244.964705,2.823659397,,,,L02-502-1,SAN JUAN CAPISTRANO,1,OSAGIR,70,Agriculture,agriculture,0.222,91720.81234,2.105628541,0.566445512,3464.826613,217.2805725,6.271037393
I01-11487-2,LAGUNA BEACH,1,RESSFH,50,Single Family Residential,single family,0.405,3165315.311,72.6659314,53.93654673,8675.433916,1520.914314,17.53127658,,,,L02-502-1,SAN JUAN CAPISTRANO,1,OSDEV,75,Developed Open Space,developed open space,0.217,1601195.019,36.75852672,9.88859245,3464.826613,389.15702,11.23164485
I01-11487-2,LAGUNA BEACH,1,RESMF,52,Multi-family Residential,multi-family,0.485,212869.0002,4.886819368,3.627259104,8675.433916,260.1326427,2.998497196,,,,L02-502-1,SAN JUAN CAPISTRANO,1,OSLOW,77,Open Space,open space,0.078,5377268.808,123.4455996,33.20870918,3464.826613,700.1696999,20.20792894
I01-11487-2,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,1287453.113,29.55597482,21.93802771,8675.433916,478.2922327,5.513179367,,,,L02-502-1,SAN JUAN CAPISTRANO,1,OSFOR,78,Open Space,open space,0.078,79789.20557,1.831715444,0.4927588,3464.826613,700.1696999,20.20792894
I01-11487-2,LAGUNA BEACH,1,OSAGIR,70,Agriculture,agriculture,0.222,356.8568715,0.008192339,0.006080793,8675.433916,88.26900078,1.017459203,,,,L02-502-6,SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,1390802.267,31.92855442,80.67799567,3464.826613,1070.297336,30.89035773
I01-11487-2,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,206595.4396,4.742797658,3.520358475,8675.433916,689.350204,7.946002594,,,,L02-502-6,SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,225062.9116,5.166754175,13.05550403,3464.826613,388.6333127,11.21652989
I01-11487-2,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,277057.0167,6.360379359,4.721014262,8675.433916,5151.062692,59.37527439,,,,L02-502-6,SAN JUAN CAPISTRANO,1,OSDEV,75,Developed Open Space,developed open space,0.217,108027.7371,2.47998552,6.26649921,3464.826613,389.15702,11.23164485
I01-11487-2,LAGUNA BEACH,1,OSWET,79,Open Space,open space,0.078,112.5327869,0.002583408,0.001917544,8675.433916,5151.062692,59.37527439,,,,L03-497-1,SAN JUAN CAPISTRANO,1,RESSFH,50,Single Family Residential,single family,0.405,138923.2885,3.18925262,7.006635622,3464.826613,1070.297336,30.89035773
I00-11453-1,LAGUNA BEACH,1,COMM,10,Commercial,business,0.486,94229.15962,2.163212501,0.632352154,8675.433916,244.964705,2.823659397,,,,L03-497-1,SAN JUAN CAPISTRANO,1,RESMF,52,Multi-family Residential,multi-family,0.485,952925.2405,21.87624087,48.06105592,3464.826613,321.5490378,9.280378896
I00-11453-1,LAGUNA BEACH,1,EDU,20,Education,business,0.422,1064948.81,24.44795845,7.146648417,8675.433916,244.964705,2.823659397,,,,L03-497-1,SAN JUAN CAPISTRANO,1,TRANS,60,Streets and Roads,surface street,0.471,299021.1462,6.86460841,15.08121668,3464.826613,388.6333127,11.21652989
I00-11453-1,LAGUNA BEACH,1,RESSFH,50,Single Family Residential,single family,0.405,8379319.914,192.3634856,56.23186094,8675.433916,1520.914314,17.53127658,,,,L03-497-1,SAN JUAN CAPISTRANO,1,OSDEV,75,Developed Open Space,developed open space,0.217,130604.6437,2.998282051,6.587082407,3464.826613,389.15702,11.23164485
I00-11453-1,LAGUNA BEACH,1,RESMF,52,Multi-family Residential,multi-family,0.485,256128.5092,5.879925016,1.71882478,8675.433916,260.1326427,2.998497196,,,,L03-497-1,SAN JUAN CAPISTRANO,1,OSLOW,77,Open Space,open space,0.078,461264.5593,10.58921957,23.26400943,3464.826613,700.1696999,20.20792894
I00-11453-1,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,2001049.181,45.93795192,13.42862195,8675.433916,478.2922327,5.513179367,,,,,,,,,,,,,,,,,
I00-11453-1,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,578562.4992,13.28202051,3.882611755,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
I00-11453-1,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,2527136.087,58.01529374,16.95908098,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
LC06-11509-2,LAGUNA BEACH,1,COMM,10,Commercial,business,0.486,98751.4785,2.267031072,4.371162398,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
LC06-11509-2,LAGUNA BEACH,1,IND,30,Light Industrial,business,0.414,9000.191398,0.206616791,0.398386929,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
LC06-11509-2,LAGUNA BEACH,1,RESSFH,50,Single Family Residential,single family,0.405,725073.8861,16.6454726,32.0948684,8675.433916,1520.914314,17.53127658,,,,,,,,,,,,,,,,,
LC06-11509-2,LAGUNA BEACH,1,RESMF,52,Multi-family Residential,multi-family,0.485,192610.0658,4.421736368,8.525744523,8675.433916,260.1326427,2.998497196,,,,,,,,,,,,,,,,,
LC06-11509-2,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,341645.2161,7.843126324,15.1226771,8675.433916,478.2922327,5.513179367,,,,,,,,,,,,,,,,,
LC06-11509-2,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,227243.205,5.216807024,10.05875525,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
LC06-11509-2,LAGUNA BEACH,1,OSIRR,76,Developed Open Space,developed open space,0.217,2598.10834,0.059644599,0.115003377,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
LC06-11509-2,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,662236.2198,15.20291251,29.31340479,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
I00-11518-1,LAGUNA BEACH,1,COMM,10,Commercial,business,0.486,236796.5229,5.436121903,0.842598966,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I00-11518-1,LAGUNA BEACH,1,EDU,20,Education,business,0.422,531639.9404,12.20482247,1.891747643,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I00-11518-1,LAGUNA BEACH,1,UTIL,40,Commercial,business,0.486,141384.9137,3.245763986,0.50309346,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I00-11518-1,LAGUNA BEACH,1,RESSFH,50,Single Family Residential,single family,0.405,15866872.32,364.2547243,56.45948705,8675.433916,1520.914314,17.53127658,,,,,,,,,,,,,,,,,
I00-11518-1,LAGUNA BEACH,1,RESMF,52,Multi-family Residential,multi-family,0.485,112049.1241,2.572304232,0.39870719,8675.433916,260.1326427,2.998497196,,,,,,,,,,,,,,,,,
I00-11518-1,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,3067369.487,70.41739571,10.91469726,8675.433916,478.2922327,5.513179367,,,,,,,,,,,,,,,,,
I00-11518-1,LAGUNA BEACH,1,OSAGIR,70,Agriculture,agriculture,0.222,267537.8055,6.141847468,0.951986438,8675.433916,88.26900078,1.017459203,,,,,,,,,,,,,,,,,
I00-11518-1,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,1233406.127,28.31522177,4.388859745,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
I00-11518-1,LAGUNA BEACH,1,OSIRR,76,Developed Open Space,developed open space,0.217,81054.85386,1.860770847,0.288419506,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
I00-11518-1,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,5834862.914,133.9505568,20.76233806,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
I00-11518-1,LAGUNA BEACH,1,OSFOR,78,Open Space,open space,0.078,730137.0331,16.76170692,2.598064793,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
LC01-11446-1,LAGUNA BEACH,1,RESSFH,50,Single Family Residential,single family,0.405,1562597.204,35.87243927,20.1154464,8675.433916,1520.914314,17.53127658,,,,,,,,,,,,,,,,,
LC01-11446-1,LAGUNA BEACH,1,RESSFL,51,Single Family Residential,single family,0.405,8372.035832,0.192196265,0.107773928,8675.433916,1520.914314,17.53127658,,,,,,,,,,,,,,,,,
LC01-11446-1,LAGUNA BEACH,1,RESMF,52,Multi-family Residential,multi-family,0.485,109841.5403,2.521624878,1.413999469,8675.433916,260.1326427,2.998497196,,,,,,,,,,,,,,,,,
LC01-11446-1,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,237179.5588,5.444915231,3.053232584,8675.433916,478.2922327,5.513179367,,,,,,,,,,,,,,,,,
LC01-11446-1,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,2024461.084,46.4754174,26.06105931,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
LC01-11446-1,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,3530453.673,81.04838832,45.44782969,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
LC01-11446-1,LAGUNA BEACH,1,OSWET,79,Open Space,open space,0.078,8358.667403,0.191889367,0.107601835,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
LC01-11446-1,LAGUNA BEACH,1,WATER,80,Water,water,0.797,97570.17226,2.239911904,1.256029106,8675.433916,3.984223979,0.045925357,,,,,,,,,,,,,,,,,
I01-11023-2,LAGUNA BEACH,1,COMM,10,Commercial,business,0.486,226942.1704,5.209896193,30.98257105,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I01-11023-2,LAGUNA BEACH,1,RESSFH,50,Single Family Residential,single family,0.405,351392.3512,8.06689065,47.9727433,8675.433916,1520.914314,17.53127658,,,,,,,,,,,,,,,,,
I01-11023-2,LAGUNA BEACH,1,RESMF,52,Multi-family Residential,multi-family,0.485,11398.78912,0.261681238,1.556184085,8675.433916,260.1326427,2.998497196,,,,,,,,,,,,,,,,,
I01-11023-2,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,44892.82287,1.030601525,6.128852437,8675.433916,478.2922327,5.513179367,,,,,,,,,,,,,,,,,
I01-11023-2,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,5862.68142,0.134589184,0.800384271,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
I01-11023-2,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,91994.51139,2.111911831,12.55926336,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
I01-11023-3,LAGUNA BEACH,1,IND,30,Light Industrial,business,0.414,8602.228241,0.197480777,0.54580453,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I01-11023-3,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,32493.75454,0.745956945,2.061702844,8675.433916,478.2922327,5.513179367,,,,,,,,,,,,,,,,,
I01-11023-3,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,12077.97607,0.277273287,0.766337961,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
I01-11023-3,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,1522889.952,34.96088254,96.62615446,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
I01-11023-4,LAGUNA BEACH,1,COMM,10,Commercial,business,0.486,18738.54824,0.430179596,6.679446397,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I01-11023-4,LAGUNA BEACH,1,RESSFH,50,Single Family Residential,single family,0.405,26692.23129,0.612771764,9.514575292,8675.433916,1520.914314,17.53127658,,,,,,,,,,,,,,,,,
I01-11023-4,LAGUNA BEACH,1,RESMF,52,Multi-family Residential,multi-family,0.485,51382.29776,1.179579965,18.31546923,8675.433916,260.1326427,2.998497196,,,,,,,,,,,,,,,,,
I01-11023-4,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,36608.37043,0.840415906,13.04923118,8675.433916,478.2922327,5.513179367,,,,,,,,,,,,,,,,,
I01-11023-4,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,65346.14369,1.50014704,23.29294983,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
I01-11023-4,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,79781.30657,1.831534107,28.43843364,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
I01-11023-4,LAGUNA BEACH,1,OSFOR,78,Open Space,open space,0.078,1991.556044,0.045720019,0.70989981,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
I01-11023-5,LAGUNA BEACH,1,IND,30,Light Industrial,business,0.414,61397.70457,1.409502988,11.32429509,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I01-11023-5,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,46512.48588,1.06778402,8.578840514,8675.433916,478.2922327,5.513179367,,,,,,,,,,,,,,,,,
I01-11023-5,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,39587.48774,0.908807302,7.301582302,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
I01-11023-5,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,394679.1501,9.060622791,72.79528107,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
I01-11059-1,LAGUNA BEACH,1,EDU,20,Education,business,0.422,44670.46377,1.025496842,0.363079833,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I01-11059-1,LAGUNA BEACH,1,IND,30,Light Industrial,business,0.414,12725.11131,0.292129527,0.103429221,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I01-11059-1,LAGUNA BEACH,1,RESSFH,50,Single Family Residential,single family,0.405,6668001.011,153.0768522,54.19725896,8675.433916,1520.914314,17.53127658,,,,,,,,,,,,,,,,,
I01-11059-1,LAGUNA BEACH,1,RESMF,52,Multi-family Residential,multi-family,0.485,15331.36272,0.351961066,0.124612734,8675.433916,260.1326427,2.998497196,,,,,,,,,,,,,,,,,
I01-11059-1,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,382802.3793,8.787968562,3.1114032,8675.433916,478.2922327,5.513179367,,,,,,,,,,,,,,,,,
I01-11059-1,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,447506.3705,10.27337375,3.637314783,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
I01-11059-1,LAGUNA BEACH,1,OSIRR,76,Developed Open Space,developed open space,0.217,336630.5033,7.728003899,2.736119945,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
I01-11059-1,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,4395539.852,100.9081137,35.72678097,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
I01-11059-2,LAGUNA BEACH,1,COMM,10,Commercial,business,0.486,9621.815159,0.220887366,2.378255586,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I01-11059-2,LAGUNA BEACH,1,RESSFH,50,Single Family Residential,single family,0.405,296848.6625,6.814734846,73.37305677,8675.433916,1520.914314,17.53127658,,,,,,,,,,,,,,,,,
I01-11059-2,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,38452.29382,0.882746732,9.504379484,8675.433916,478.2922327,5.513179367,,,,,,,,,,,,,,,,,
I01-11059-2,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,43815.68778,1.005873807,10.83006714,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
I01-11059-2,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,15836.02799,0.363546633,3.914242937,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
I01-11093-1,LAGUNA BEACH,1,COMM,10,Commercial,business,0.486,107255.9839,2.462268432,2.809754542,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I01-11093-1,LAGUNA BEACH,1,EDU,20,Education,business,0.422,178472.2007,4.097174347,4.675385544,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I01-11093-1,LAGUNA BEACH,1,IND,30,Light Industrial,business,0.414,24195.45582,0.555453457,0.633841483,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I01-11093-1,LAGUNA BEACH,1,UTIL,40,Commercial,business,0.486,1347.919733,0.030944103,0.03531107,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I01-11093-1,LAGUNA BEACH,1,RESSFH,50,Single Family Residential,single family,0.405,295.3940205,0.006781341,0.007738353,8675.433916,1520.914314,17.53127658,,,,,,,,,,,,,,,,,
I01-11093-1,LAGUNA BEACH,1,TRANS,60,Streets and Roads,surface street,0.471,139916.7155,3.212058659,3.665358452,8675.433916,478.2922327,5.513179367,,,,,,,,,,,,,,,,,
I01-11093-1,LAGUNA BEACH,1,OSAGIR,70,Agriculture,agriculture,0.222,129113.0281,2.964039132,3.382337322,8675.433916,88.26900078,1.017459203,,,,,,,,,,,,,,,,,
I01-11093-1,LAGUNA BEACH,1,OSDEV,75,Developed Open Space,developed open space,0.217,38687.62111,0.888149125,1.013488621,8675.433916,689.350204,7.946002594,,,,,,,,,,,,,,,,,
I01-11093-1,LAGUNA BEACH,1,OSLOW,77,Open Space,open space,0.078,3197988.037,73.415997,83.77678419,8675.433916,5151.062692,59.37527439,,,,,,,,,,,,,,,,,
I01-11077-1,LAGUNA BEACH,1,COMM,10,Commercial,business,0.486,288083.5973,6.613515831,5.602100399,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I01-11077-1,LAGUNA BEACH,1,IND,30,Light Industrial,business,0.414,223317.3654,5.126681788,4.342650236,8675.433916,244.964705,2.823659397,,,,,,,,,,,,,,,,,
I01-11077-1,LAGUNA BEACH,1,RESSFH,50,Single Family Residential,single family,0.405,1879679.572,43.15167793,36.55242359,8675.433916,1520.914314,17.53127658,,,,,,,,,,,,,,,,,
I01-11077-1,LAGUNA BEACH,1,RESMF,52,Multi-family Residential,multi-family,0.485,25910.5612,0.594827016,0.50385918,8675.433916,260.1326427,2.998497196,,,,,,,,,,,,,,,,,
