OBJECTID,LOCDESC,SIZE1,LASTUPDATE,LASTEDITOR,SIZE2,SIZE3,CatchID,DrainID,INSPECTED,FACTYPE,JURISDICTI,MANAGEMENT,GlobalID,PRIORITY,FLOWMONITSTATUS,FLOWMONITDEPLOY,FLOWMONITRETURN,NEXTINSPECTION,POINT_X,POINT_Y,PERSISTENTFLOW,FACILITYID,SURVEYLINK,ACCESSIBILITY,FLOWMEASCOUNT,LASTDISCHARGE,LASTDISCHARGETREND,AVGFLOWWIDTH,AVGFLOWDEPTH,AVGFLOWVEL,AVGDISCHARGE,MAXDISCHARGE,MINDISCHARGE,PRIORITIZATIONSCORE2022,SAMPLECHWSRSDRY,SAMPLECHWSRSWET,SAMPLEDRY,SAMPLEWET,OCFSLOCATION
162,M00P03,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,168,M01,Removed from Inventory,Culvert,DANA POINT,SOUTH,{646E3C9A-8C7B-4F6E-9309-F55401464054},NA,NA,NA,NA,NA,-117.65109441,33.44584173,Unknown,M01-168-1 (M00P03),NA,Unsafe accessibility,8,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
163,M00P05,NA,2022-05-19T15:43:40Z,OCENVRESUSER,6,3,075,SC10,Verified,Box,DANA POINT,SOUTH,{A312578F-E3A9-4101-A4A6-AD6BB12708E1},NA,NA,NA,NA,NA,-117.66495346,33.45357005,Yes,SC10-075-1 (M00P05),NA,Difficult accessibility,6,0.006,Below Average Discharge,0.71833333,0.01666666,13.66666666,0.006323,0.017143,0.002,NA,NA,NA,NA,NA,NA
164,Cristianos Trail,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,086,M02,Verified,Outfall,SAN CLEMENTE,SOUTH,{F86F746E-958B-4AF4-8B9D-F230E1352261},NA,NA,NA,NA,NA,-117.59994514,33.47727634,Unknown,M02-086-1,NA,Easily accessibility,5,0,Below Average Discharge,0.052,0.002,1.68,3.71e-4,0.001857,0,NA,NA,NA,NA,NA,NA
165,NA,44,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,013,M02,Verified,Outfall,SAN CLEMENTE,SOUTH,{28818406-BBEA-4536-A70B-7DEA94341A5E},NA,NA,NA,NA,NA,-117.59757079,33.47448662,Yes,M02-013-1,NA,Difficult accessibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
166,NA,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,551,L01,Removed from Inventory,Culvert,SAN JUAN CAPISTRANO,SOUTH,{03183051-E618-4786-976E-4427B2790756},NA,NA,NA,NA,NA,-117.6363646,33.51086803,Yes,L01-551-1,NA,Easily accessibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,749,L01,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{F283626A-51CD-43CB-A8FF-746A67B87B2B},NA,NA,NA,NA,NA,-117.6389212,33.50819651,Unknown,L01-749-3,NA,Easily accessibility,10,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
168,Calle Arroyo and Via Cordova,54,2022-10-05T20:57:52Z,OCENVRESUSER,NA,NA,749,L01,Verified,Culvert,SAN JUAN CAPISTRANO,SOUTH,{DB892315-C6C6-4493-889A-BD642E17B637},Priority,NA,NA,NA,NA,-117.64017859,33.5083054,Yes,L01-749-2,NA,Easily accessibility,5,0.24975,20% Or More Above Average Discharge,1.58,0.144,28.6,0.077331,0.24975,0.0099,10,NA,NA,Yes,NA,NA
169,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,556,L01,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{4FE0C734-3649-4717-871F-7A7EB924A050},NA,NA,NA,NA,NA,-117.64514276,33.50553072,Yes,L01-556-1,NA,Easily accessibility,10,0.011494,20% Or More Above Average Discharge,0.21222222,0.01,2.783,0.004752,0.01836,0,NA,NA,NA,NA,NA,NA
170,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,748,L01,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{A91AE436-24A4-4432-8197-13B5F01E53A6},NA,NA,NA,NA,NA,-117.64283212,33.50404847,Unknown,L01-748-1,NA,Easily accessibility,3,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
171,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,748,L01,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{DBC981FA-992C-4171-A16D-E171B6935A16},NA,NA,NA,NA,NA,-117.64281522,33.50406011,Yes,L01-748-2,NA,Easily accessibility,3,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
172,L01S09,NA,2022-10-03T23:46:38Z,OCENVRESUSER,53,120,618,L01,Verified,Box,SAN JUAN CAPISTRANO,SOUTH,{DB6B9824-56ED-459B-A97E-F9966647E89B},NA,NA,NA,NA,NA,-117.64812,33.501988,Yes,L01-618-5 (L01S09),NA,Easily accessibility,10,0.004101,Below Average Discharge,0.659,0.0247,7.29,0.018739,0.065,0,NA,NA,NA,NA,NA,NA
173,NA,36,2022-10-03T16:52:26Z,OCPWPublisher,NA,NA,618,L01,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{6CAF875E-8955-448F-B3BC-D7F75183DDDE},NA,NA,NA,NA,NA,-117.6485177,33.5025008,Unknown,L01-618-4,NA,Unaccessible,10,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
174,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,618,L01,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{A981599B-D002-446E-B808-453E58ACEA12},NA,NA,NA,NA,NA,-117.65002116,33.50155524,Unknown,L01-618-3,NA,Easily accessibility,1,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
175,NA,96,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,618,L01,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{DBB6D67B-D85C-4FC2-AE21-A7AD70D991C8},NA,NA,NA,NA,NA,-117.65036582,33.50048772,Yes,L01-618-2,NA,Difficult accessibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,NA,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,618,L01,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{6BB44A0A-D350-479C-9FC0-20CB027EB52D},NA,NA,NA,NA,NA,-117.65217064,33.5000465,Yes,L01-618-1,NA,Easily accessibility,1,0.081,Equal,0.9,0.15,10,0.081,0.081,0.081,NA,NA,NA,NA,NA,NA
177,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,602,L01,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{99C5D60F-3F09-4BFF-AE19-4319471F81EF},NA,NA,NA,NA,NA,-117.65367681,33.49828674,Yes,L01-602-2,NA,Unaccessible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,Horno Creek,NA,2022-05-19T15:43:40Z,OCENVRESUSER,8.5,16,602,L01,Removed from Inventory,Box,SAN JUAN CAPISTRANO,SOUTH,{45E42539-22FE-47B1-80D2-DE144922602E},NA,NA,NA,NA,NA,-117.65555563,33.498389,Yes,L01-602-1,NA,Easily accessibility,2,0.756,Below Average Discharge,9,0.135,5,1.458,2.16,0.756,NA,NA,NA,NA,NA,NA
179,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,501,L05,Not-Found,Outfall,SAN JUAN CAPISTRANO,SOUTH,{A19EAA15-EFE3-4256-BE52-69B21F7C5819},NA,NA,NA,NA,NA,-117.64877991,33.52386886,Unknown,L05-501-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
180,NA,30,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,501,L05,Not-Found,Outfall,SAN JUAN CAPISTRANO,SOUTH,{C67D9F1A-CDF8-4F03-A0B0-9EAF87AA4EAF},NA,NA,NA,NA,NA,-117.64774228,33.52453775,Unknown,L05-501-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
181,NA,42,2022-10-04T23:37:32Z,OCENVRESUSER,NA,NA,766,L01,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{2A3C4022-F5F9-4E4D-864F-F04AB86095CF},NA,NA,NA,NA,NA,-117.66318298,33.49229639,Unknown,L01-766-7,NA,Easily accessibility,10,2.62e-4,Below Average Discharge,0.161,0.003,14.058,8.59e-4,0.007,0,NA,NA,NA,NA,NA,NA
182,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,766,L01,Not-Found,Outfall,SAN JUAN CAPISTRANO,SOUTH,{713F280E-D60D-457F-AD68-B773F3C5CDDF},NA,NA,NA,NA,NA,-117.66418741,33.49100266,Unknown,L01-766-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
183,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,571,L02,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{63E80B56-44CC-47BE-96A0-96E180F51F4A},NA,NA,NA,NA,NA,-117.66612034,33.49086976,Unknown,L02-571-1,NA,Easily accessibility,11,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
184,NA,42,2022-10-04T00:30:05Z,OCENVRESUSER,NA,NA,571,L02,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{3871EFB2-8754-476F-9342-3419290C4138},Priority,NA,NA,NA,NA,-117.66580017,33.49529812,Unknown,L02-571-3,NA,Easily accessibility,8,0,Below Average Discharge,0.235,0.0075,44.575,6.07e-4,0.00325,0,26,NA,NA,NA,NA,NA
185,NA,18,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,571,L02,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{F39B19F1-CBD7-4F94-AB4E-94B3789804EF},NA,NA,NA,NA,NA,-117.66558856,33.49671538,Unknown,L02-571-4,NA,Easily accessibility,3,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
186,L02TBN2,78,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,571,L02,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{84E0BC14-2EA7-43A4-9B95-F0347A2814D5},NA,NA,NA,NA,NA,-117.6660482,33.49772412,Unknown,L02-571-5 (L02TBN2),NA,Easily accessibility,11,0,Equal,0.05454545,0.00454545,0,0,0,0,NA,NA,NA,NA,NA,NA
187,NA,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,541,L02,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{80D3DC2F-82C1-41D7-B291-FBE03B0CC399},NA,NA,NA,NA,NA,-117.665789,33.49815467,Unknown,L02-541-2,NA,Easily accessibility,10,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
188,NA,30,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,541,L02,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{C271BCF6-83EC-4B1C-99A1-AFAB061AC340},NA,NA,NA,NA,NA,-117.66623781,33.49903004,Unknown,L02-541-3,NA,Easily accessibility,1,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
189,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,541,L02,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{610DC3A7-793E-4344-A914-88E70E636144},NA,NA,NA,NA,NA,-117.66647854,33.49992872,Unknown,L02-541-7,NA,Easily accessibility,14,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
190,NA,30,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,541,L02,Not-Found,Outfall,SAN JUAN CAPISTRANO,SOUTH,{9B137065-873A-458C-A254-D80DF373BFD0},NA,NA,NA,NA,NA,-117.66597617,33.49929348,Unknown,L02-541-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
191,NA,48,2022-10-04T00:30:02Z,OCENVRESUSER,NA,NA,541,L02,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{182F8328-651A-4982-91BA-8A69837B2509},Priority,NA,NA,NA,NA,-117.66610487,33.49978079,Yes,L02-541-6,NA,Easily accessibility,4,9.37e-4,Below Average Discharge,0.725,0.0075,27.4,0.002091,0.006,0,34,NA,NA,NA,NA,NA
192,NA,18,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,541,L02,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{CA63B735-E475-40BF-8F64-40F31CAA24AB},NA,NA,NA,NA,NA,-117.66762248,33.50236198,Unknown,L02-541-8,NA,Easily accessibility,3,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
193,L02P02,NA,2022-10-04T23:37:42Z,OCENVRESUSER,72,90,541,L02,Verified,Box,SAN JUAN CAPISTRANO,SOUTH,{6FE5A355-7E45-4A1E-8A7B-8CD7AB8F0640},NA,NA,NA,NA,NA,-117.6675175,33.50399068,Yes,L02-541-9 (L02P02),NA,Easily accessibility,13,0.037975,Below Average Discharge,0.95923076,0.06692307,11.82153846,0.048641,0.275625,0.0039,NA,NA,NA,NA,NA,NA
194,NA,60,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,766,L01,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{318F725A-895C-4980-B214-CEAEA72603EF},NA,NA,NA,NA,NA,-117.66679527,33.48754274,Unknown,L01-766-5,NA,Difficult accessibility,11,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
195,San Juan Creek Trail,48,2022-10-04T23:37:47Z,OCENVRESUSER,NA,NA,766,L01,Verified,Outfall,SAN JUAN CAPISTRANO,SOUTH,{48ACB168-9928-43C5-AAD8-5119F46F8CD3},NA,NA,NA,NA,NA,-117.66758978,33.487744,Unknown,L01-766-4,NA,Difficult accessibility,8,0,Below Average Discharge,0.125,0.0025,4.75,0.001979,0.015,0,NA,NA,NA,NA,NA,NA
196,NA,NA,2022-10-04T00:28:51Z,OCENVRESUSER,12,7,766,L01,Verified,Box,SAN JUAN CAPISTRANO,SOUTH,{36C58593-1762-4673-9666-5809B7EDC846},Priority,NA,NA,NA,NA,-117.67028871,33.48601029,Unknown,L01-766-3,NA,Easily accessibility,9,0.008571,Above Average Discharge,0.36666666,0.00666666,3.88888888,0.00798,0.06,0,9,NA,NA,NA,NA,NA
197,L01S06 - Via Madrigal,NA,2022-10-05T21:12:21Z,OCENVRESUSER,10,5,766,L01,Verified,Box,SAN JUAN CAPISTRANO,SOUTH,{6B1E2EC8-33C0-45FC-B9F2-95DAAD8E87F9},NA,NA,NA,NA,NA,-117.67215175,33.48591622,Yes,L01-766-2 (L01S06),NA,Easily accessibility,21,0.450626,20% Or More Above Average Discharge,5.13047619,0.04857142,6.89190476,0.179334,0.450626,0.032,NA,NA,NA,NA,NA,Yes
198,DSB-1,48,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,035,SC11,Removed from Inventory,Culvert,DANA POINT,SOUTH,{012EA2FE-F094-492D-B478-80FE452D665E},NA,NA,NA,NA,NA,-117.67096642,33.4572147,Yes,SC11-035-3,NA,Easily accessibility,5,0.01425,20% Or More Above Average Discharge,0.534,0.008,4.2,0.005198,0.01425,0,NA,NA,NA,NA,NA,NA
199,DSB-2,33,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,035,SC11,Removed from Inventory,Culvert,DANA POINT,SOUTH,{B78EC74F-A747-44FA-912E-322770E225AB},NA,NA,NA,NA,NA,-117.67371787,33.45894375,Unknown,SC11-035-2,NA,Easily accessibility,2,0.001,Below Average Discharge,0.365,0.01,18,0.00165,0.0023,0.001,NA,NA,NA,NA,NA,NA
200,DSB-3,24,2022-10-04T00:42:33Z,OCENVRESUSER,NA,NA,035,SC11,Removed from Inventory,Culvert,DANA POINT,SOUTH,{BB72D368-BD4C-45B2-9A41-9BC71B7411AF},NA,NA,NA,NA,NA,-117.67538012,33.45996699,Unknown,SC11-035-1,NA,Easily accessibility,4,0.024,20% Or More Above Average Discharge,0.5875,0.0275,10.5,0.012006,0.024,0.0035,NA,NA,NA,NA,NA,NA
201,NA,NA,2022-05-19T15:43:40Z,OCENVRESUSER,4,3.4,12131,DP02,Not-Found,Box,LAGUNA BEACH,SOUTH,{7E85DDAA-CD3F-482E-A911-5A9143B073EB},NA,NA,NA,NA,NA,-117.74828083,33.50537616,Unknown,DP02-12131-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202,NA,30,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12190,DP05,Verified,Outfall,DANA POINT,SOUTH,{D129CA3E-F49B-479B-AFAA-8D06181307FB},NA,NA,NA,NA,NA,-117.73188754,33.4849295,Unknown,DP05-12190-1,NA,Unsafe accessibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203,K01S01,120,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,12126,K01,Verified,Outfall,DANA POINT,SOUTH,{4B95CAAB-3599-40EF-9AEE-7EB6755113A0},Priority,3,2016-05-25T07:00:00Z,2016-06-09T07:00:00Z,NA,-117.71987581,33.48403393,Yes,K01-12126-1 (K01S01),NA,Difficult accessibility,23,0.497143,Above Average Discharge,2.08086956,0.11212272,3.42434782,0.477926,0.822857,0.096067,78,NA,NA,Yes,NA,Yes
204,NA,30,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12046,K01,Not-Found,Outfall,DANA POINT,SOUTH,{5AA3C4D5-10A6-4A89-A88A-794258116AA8},NA,NA,NA,NA,NA,-117.71798404,33.49059166,Unknown,K01-12046-1,NA,Unaccessible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
205,Daylight of Salt Creek,NA,2022-05-19T15:43:40Z,OCENVRESUSER,10,14,12046,K01,Unverified,Box,DANA POINT,SOUTH,{B670B1C1-9A04-4233-B5E3-EF657E8E2968},NA,NA,NA,NA,NA,-117.71739431,33.49226127,Unknown,K01-12046-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,NA,NA,2022-05-19T15:43:40Z,OCENVRESUSER,6,12,12046,K01,Unverified,Box,DANA POINT,SOUTH,{24A255AF-C060-4870-84D4-B5B319BEB2F7},NA,NA,NA,NA,NA,-117.71739539,33.49232567,Unknown,K01-12046-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,NA,24,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12155,K01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{48543D38-0F33-48A0-8764-59C0384EFF2F},NA,NA,NA,NA,NA,-117.719312,33.49977151,Unknown,K01-12155-2,NA,Difficult accessibility,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,NA,36,2022-10-03T23:41:02Z,OCENVRESUSER,NA,NA,12155,K01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{EBDB95ED-DC08-4DB5-AB03-DFC2113EF527},NA,3,2016-08-03T07:00:00Z,2016-08-17T07:00:00Z,NA,-117.72022028,33.49919589,Unknown,K01-12155-1,NA,Easily accessibility,7,0,Below Average Discharge,0.35,0.00714285,77.14285714,4.4e-4,0.0012,0,NA,NA,NA,NA,NA,NA
209,NA,39,2022-10-03T23:39:54Z,OCENVRESUSER,NA,NA,12036,K01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{492C91F2-212B-4A73-AC7B-107B61D9565F},NA,3,2016-07-29T07:00:00Z,2016-08-12T07:00:00Z,NA,-117.71889333,33.5071094,Yes,K01-12036-1,NA,Easily accessibility,14,0.008434,Below Average Discharge,0.56357142,0.03535714,7.92142857,0.021221,0.09,0.0042,NA,NA,NA,NA,NA,NA
210,NA,42,2022-10-04T00:18:24Z,OCENVRESUSER,NA,NA,12036,K01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{70D2A74D-50ED-4574-A929-01CB7DE7D000},Priority,3,2016-07-29T07:00:00Z,2016-08-12T07:00:00Z,NA,-117.71803545,33.51166906,Yes,K01-12036-5,NA,Easily accessibility,13,0.056277,Above Average Discharge,1.74538461,0.08230769,21.44461538,0.047461,0.087,0.014,55,NA,NA,NA,NA,NA
211,K01P11,48,2022-10-04T00:18:17Z,OCENVRESUSER,NA,NA,12032,K01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{E67A1268-C953-4917-B816-D1F3A4A6B507},Priority,3,2016-08-03T07:00:00Z,2016-08-17T07:00:00Z,NA,-117.71775833,33.51685546,Yes,K01-12032-2 (K01P11),NA,Easily accessibility,14,0.060169,Below Average Discharge,0.76214285,0.0526923,5.84871428,0.061363,0.168,0.0049,58,NA,NA,NA,NA,NA
212,NA,42,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12156,K01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{5534FF00-8FE3-41EF-BF46-3A596527C17F},NA,NA,NA,NA,NA,-117.71287002,33.49693715,Yes,K01-12156-1,NA,Difficult accessibility,1,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,NA,33,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12156,K01,Not-Found,Outfall,LAGUNA NIGUEL,SOUTH,{5AD28A9D-830F-4194-BB52-08AD250EF239},NA,NA,NA,NA,NA,-117.71166912,33.50326662,Unknown,K01-12156-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,39,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12156,K01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{F7D4DE70-C4F6-4DB8-9F42-612475714A9C},NA,NA,NA,NA,NA,-117.70947404,33.50412766,Unknown,K01-12156-3,NA,Unsafe accessibility,2,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
215,SCNK01; Salt Creek Corridor Regional Park (station on upstream side of tunnel).  RW that captures influence of upstream outfalls ,192,2022-10-04T23:26:18Z,OCENVRESUSER,NA,NA,12156,K01,Removed from Inventory,Culvert,LAGUNA NIGUEL,SOUTH,{309906B0-76A0-4415-BAED-B4E04CEE89DD},NA,NA,2016-05-25T15:39:45Z,2016-06-09T15:40:01Z,NA,-117.70748656,33.50593908,Yes,K01-12156-4,NA,Easily accessibility,11,3.6,20% Or More Above Average Discharge,2.13272727,0.11772727,2.68,0.870863,3.6,0.18,NA,Yes,NA,NA,NA,NA
216,K01P07 - Salt Creek Trail,78,2022-10-05T21:12:21Z,OCENVRESUSER,NA,NA,12177,K01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{162A0934-2B45-4BAA-AE44-99D3683A47DD},Priority,3,2016-06-02T07:00:00Z,2016-06-16T07:00:00Z,NA,-117.70738067,33.50860089,Yes,K01-12177-1 (K01P07),NA,Easily accessibility,16,0.198,Below Average Discharge,1.01125,0.0815625,2.3978125,0.246265,1.2,0.019125,77,Yes,NA,Yes,NA,Yes
217,K01TBN1,42,2022-10-04T00:18:45Z,OCENVRESUSER,NA,NA,12138,K01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{7ED3F0F9-CFEC-4D38-9A33-AE41DCBA38E4},Priority,3,NA,NA,NA,-117.69710457,33.5119634,Yes,K01-12138-1 (K01TBN1),NA,Easily accessibility,10,0.0045,Below Average Discharge,0.583,0.0179,5.96,0.0344,0.21,6e-4,18,NA,NA,NA,NA,NA
218,K01P08,72,2022-10-04T00:18:30Z,OCENVRESUSER,NA,NA,12058,K01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{4C787A96-7840-4AA0-A3A0-EED192734DC5},Priority,3,2016-06-15T07:00:00Z,2016-06-30T07:00:00Z,NA,-117.69462,33.5113,Yes,K01-12058-1 (K01P08),NA,Difficult accessibility,12,0.026667,Below Average Discharge,0.8125,0.0575,2.75333333,0.205335,1.44,0.026667,67,NA,NA,NA,NA,NA
219,K01P09,72,2022-10-04T00:18:35Z,OCENVRESUSER,NA,NA,12058,K01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{C0A795C3-4CA5-4BFE-8231-8B5C12D45F49},Priority,3,2016-06-15T07:00:00Z,2016-06-30T07:00:00Z,NA,-117.69460127,33.51125335,Yes,K01-12058-2 (K01P09),NA,Difficult accessibility,12,0.068852,Below Average Discharge,0.845,0.04666666,3.37,0.130128,0.84,0.018,64,NA,NA,NA,NA,NA
220,NA,72,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,12062,K01,Verified,Outfall,LAGUNA NIGUEL,SOUTH,{DC0E267C-D89F-4834-A9CC-2BD31EFE7608},NA,NA,NA,NA,NA,-117.69068155,33.50914725,Yes,K01-12062-1,NA,Easily accessibility,1,0.122807,Equal,1.75,0.04,3.42,0.122807,0.122807,0.122807,NA,NA,NA,NA,NA,NA
221,"Circular drain on top of cliff, drains into ponded water.   Standing pipe at bottom of cliff is connected to a conduit connected to outlet at Harbor. ",66,2022-10-03T23:42:24Z,OCENVRESUSER,NA,NA,12094,L00,Removed from Inventory,Outfall,DANA POINT,SOUTH,{DD00A74D-6154-40A8-AE65-13AFB818C5EA},NA,3,2017-08-08T00:00:00Z,2017-11-16T00:00:00Z,NA,-117.70135068,33.46383744,Yes,L00-12094-1 (L00P01),NA,Difficult accessibility,12,0.0288,20% Or More Above Average Discharge,0.39166666,0.01233333,4.30333333,0.016741,0.12,0,NA,NA,NA,NA,NA,NA
222,NA,54,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,728,L01,Verified,Outfall,DANA POINT,SOUTH,{A59E35B2-C9EC-4E24-9DB6-266C60FCB072},NA,NA,NA,NA,NA,-117.68220511,33.46469611,Yes,L01-728-2,NA,Difficult accessibility,7,0.0014,Below Average Discharge,0.36714285,0.00857142,11.57142857,0.001732,0.00525,0,NA,NA,NA,NA,NA,NA
223,L01S02,NA,2022-10-05T21:12:21Z,OCENVRESUSER,11.5,11,728,L01,Verified,Box,DANA POINT,SOUTH,{2A977DCC-7E53-4D85-94F4-061F90A75327},NA,NA,NA,NA,NA,-117.68214132,33.46552248,Yes,L01-728-3 (L01S02),NA,Easily accessibility,19,0.210526,Below Average Discharge,5.49210526,0.126,11.02578947,0.438094,3.1104,0.12,NA,NA,NA,NA,NA,Yes
224,L01S03,NA,2022-05-19T15:43:40Z,OCENVRESUSER,84,96,728,L01,Verified,Box,DANA POINT,SOUTH,{9ABFED9B-C141-47FC-9A23-685026E584F9},NA,3,2017-05-10T00:00:00Z,2017-09-07T00:00:00Z,NA,-117.67964694,33.46920039,Yes,L01-728-7 (L01S03),NA,Easily accessibility,12,0.04912,Below Average Discharge,4.765,0.17408333,53.95666666,0.153355,0.75,0.022989,NA,NA,NA,NA,NA,NA
225,NA,36,2022-05-19T15:43:40Z,OCENVRESUSER,NA,NA,728,L01,Verified,Outfall,DANA POINT,SOUTH,{997F43C3-4A2E-4C65-8310-72694AD8EF59},NA,NA,NA,NA,NA,-117.68090029,33.46971487,Unknown,L01-728-6,NA,Easily accessibility,15,0,Equal,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
