FACILITYID,Date,FlowConnectivity
I01-11023-1,2022-06-21,Direct Connection
I01-11023-1,2022-09-07,Direct Connection
I01-11023-1,2022-09-01,NA
I01-11023-2,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11023-2,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I01-11023-3,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11023-3,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I01-11023-4,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11023-4,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I01-11023-5,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11023-5,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I01-11059-1,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11059-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I01-11059-2,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11059-2,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I01-11059-3,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11059-3,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I01-11065-1,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11065-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I01-11093-1,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11093-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I01-11077-1,2022-07-21,None - Flow Infiltrates or Outfall is Dry
I01-11077-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I01-11343-1,2022-06-14,None - Flow Infiltrates or Outfall is Dry
I01-11343-1,2022-08-23,Undetermined
LC05-11017-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry
LC05-11017-1,2022-08-29,None - Flow Infiltrates or Outfall is Dry
DP04-12015-1,2022-07-05,None - Flow Infiltrates or Outfall is Dry
DP04-12015-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry
K01-12155-5,2022-07-06,Undetermined
K01-12155-5,2022-08-31,Undetermined
K01-12036-10,2022-07-06,None - Flow Infiltrates or Outfall is Dry
K01-12036-10,2022-08-31,Undetermined
J03-9234-5,2022-07-06,Direct Connection
J03-9234-5,2022-08-31,NA
J04-9249-1,2022-07-08,Direct Connection
L03-316-4,2022-06-22,Direct Connection
L03-316-4,2022-09-01,Partial - Significant Distance
L03-316-2,2022-06-22,Direct Connection
L03-316-2,2022-08-02,Partial - Significant Distance
L03-316-2,2022-09-01,Partial - Significant Distance
J01-9082-3,2022-06-23,None - Flow Infiltrates or Outfall is Dry
J01-9082-3,2022-07-13,None - Flow Infiltrates or Outfall is Dry
J01-9082-3,2022-08-22,None - Flow Infiltrates or Outfall is Dry
J01-9082-4,2022-06-23,Direct Connection
J01-9082-4,2022-07-13,Direct Connection
J01-9082-4,2022-08-22,Direct Connection
L02-502-1,2022-07-06,Undetermined
L02-502-1,2022-08-11,None - Flow Infiltrates or Outfall is Dry
L02-502-6,2022-08-11,NA
L03-497-1,NA,NA
L02-502-5,2022-07-06,None - Flow Infiltrates or Outfall is Dry
L02-502-5,2022-08-11,None - Flow Infiltrates or Outfall is Dry
L01-728-9,2022-07-12,None - Flow Infiltrates or Outfall is Dry
L01-728-9,2022-08-29,None - Flow Infiltrates or Outfall is Dry
L01-727-3,2022-07-12,Direct Connection
L01-727-3,2022-09-14,None - Flow Infiltrates or Outfall is Dry
J03-9216-2,2022-08-04,Partial - Significant Distance
J03-9216-2,2022-08-08,Partial - Significant Distance
M02-085-2,2022-06-30,Direct Connection
M02-085-2,2022-09-08,Direct Connection
J01-9259-3,2022-06-21,None - Flow Infiltrates or Outfall is Dry
J01-9259-3,2022-08-09,None - Flow Infiltrates or Outfall is Dry
J03-9234-6,2022-07-06,Partial - Significant Distance
J03-9234-6,2022-07-08,Partial - Significant Distance
J03-9234-6,2022-08-31,Partial - Significant Distance
L02-396-1,NA,NA
L03-708-13,2022-06-23,Direct Connection
L03-708-13,2022-08-04,Direct Connection
J01-9364-4,2022-06-28,None - Flow Infiltrates or Outfall is Dry
J01-9364-4,2022-08-29,None - Flow Infiltrates or Outfall is Dry
M02-052-4,2022-07-28,Direct Connection
M02-052-4,2022-09-08,Direct Connection
M02-052-4,2022-09-08,Direct Connection
M02-052-4,2022-09-08,Direct Connection
M02-052-4,2022-09-08,Direct Connection
L01-613-1,NA,NA
L02-366-1 (MVL02P14),2022-06-17,Undetermined
L02-366-1 (MVL02P14),2022-09-01,Partial - Significant Distance
M01-047-1,2022-06-30,Direct Connection
M01-047-1,2022-09-08,Direct Connection
L01-471-1,2022-05-31,None - Flow Infiltrates or Outfall is Dry
L01-471-1,2022-09-27,None - Flow Infiltrates or Outfall is Dry
L01-517-7,2022-05-31,None - Flow Infiltrates or Outfall is Dry
L01-517-7,2022-09-27,None - Flow Infiltrates or Outfall is Dry
L01-517-6,2022-05-31,Undetermined
L01-517-6,2022-09-27,Undetermined
L01-335-1,2022-06-17,Direct Connection
L01-335-1,2022-09-27,Direct Connection
L01-494-1,2022-05-31,Undetermined
L01-494-1,2022-09-27,None - Flow Infiltrates or Outfall is Dry
L02-344-2,2022-07-26,Undetermined
L02-344-2,2022-09-19,Undetermined
SC11-130-2,2022-09-23,Partial - Significant Distance
SC11-130-2,2022-07-12,NA
DP01-12022-2,2022-07-12,None - Flow Infiltrates or Outfall is Dry
DP01-12022-2,2022-09-26,None - Flow Infiltrates or Outfall is Dry
DP01-12022-1,2022-07-12,Direct Connection
DP01-12022-1,2022-09-26,Direct Connection
K01-12159-3,2022-06-22,Direct Connection
K01-12159-2,2022-06-22,Direct Connection
LC03-11515-1,2022-07-05,Direct Connection
LC03-11515-1,2022-09-01,None - Flow Infiltrates or Outfall is Dry
I00-11518-2,2022-07-05,Direct Connection
I00-11518-2,2022-08-16,NA
LC04-11199-1,NA,NA
J03-9234-8,2022-07-06,Partial - Significant Distance
J03-9234-8,2022-08-31,Partial - Significant Distance
L04-672-1,2022-06-29,Partial - Significant Distance
L04-672-1,2022-06-29,Partial - Significant Distance
L04-672-1,2022-08-23,Partial - Significant Distance
L03-074-2,2022-06-22,NA
L03-074-2,2022-08-09,NA
L03-172-3,2022-06-22,NA
L03-172-3,2022-08-09,NA
J07-9022-6,2022-06-21,Partial - Significant Distance
J07-9022-6,2022-08-09,Partial - Significant Distance
L01-303-5,NA,NA
L01-303-4,2022-08-01,Direct Connection
L01-303-4,2022-09-26,Direct Connection
L01-303-3,2022-08-01,Partial - Significant Distance
L01-303-3,2022-09-26,Partial - Significant Distance
L01-303-2,2022-08-08,Direct Connection
L01-303-2,2022-09-19,Direct Connection
L01-303-1,NA,NA
L01-517-8,NA,NA
M01-008-1,2022-07-26,Direct Connection
M01-008-1,2022-09-15,Direct Connection
M01-038-3,2022-07-26,Direct Connection
M01-038-3,2022-09-15,Direct Connection
SC02-072-4,NA,NA
M00.1-070-6,NA,NA
M01-099-1,2022-07-26,Direct Connection
M01-099-1,2022-09-15,Direct Connection
M02-061-7,2022-07-20,None - Flow Infiltrates or Outfall is Dry
L05-503-1,2022-06-22,Direct Connection
L05-503-1,2022-09-06,Direct Connection
L01-766-9,2022-06-28,Undetermined
L01-766-9,2022-09-06,Undetermined
L01-749-5,2022-07-13,None - Flow Infiltrates or Outfall is Dry
L01-749-5,2022-08-11,None - Flow Infiltrates or Outfall is Dry
L01-404-2,2022-06-16,Undetermined
L01-404-2,2022-08-24,Undetermined
L03-141-2,2022-06-22,Direct Connection
L03-141-2,2022-08-09,Direct Connection
L03-141-3,2022-06-22,Direct Connection
L03-141-3,2022-08-09,Direct Connection
L01-749-2d,2022-06-22,Undetermined
L01-749-2d,2022-08-10,Undetermined
L01-749-2d,2022-09-06,Undetermined
L01-749-2d,2022-09-06,Undetermined
LC05-11017-2,NA,NA
M01-124-2,2022-07-26,Direct Connection
M01-124-2,2022-09-15,Direct Connection
M01-124-4,2022-07-26,Direct Connection
M01-124-4,2022-09-15,Partial - Significant Distance
L05-489-3d,2022-06-16,Direct Connection
L05-489-3d,2022-09-06,Direct Connection
M01-038-6,2022-07-26,Direct Connection
M01-038-6,2022-09-15,Direct Connection
L04-136-1u (L04P07),2022-06-29,Partial - Significant Distance
L04-136-1u (L04P07),2022-08-23,Partial - Significant Distance
L01-335-2,2022-06-17,Direct Connection
L01-335-2,2022-09-27,None - Flow Infiltrates or Outfall is Dry
SC10-075-3 (M00S01),NA,NA
SC09-081-2d,NA,NA
M01-168-1d (M00P03),NA,NA
M01-168-2d (M00P03),NA,NA
K01-12156-6,2022-07-20,Direct Connection
K01-12156-6,2022-08-18,Direct Connection
L01-728-8d,2022-07-12,None - Flow Infiltrates or Outfall is Dry
L01-728-8d,2022-09-23,None - Flow Infiltrates or Outfall is Dry
SC11-035-1d,2022-07-12,NA
SC11-035-1d,2022-09-23,NA
SC11-035-2d,2022-07-12,None - Flow Infiltrates or Outfall is Dry
SC11-035-2d,2022-09-23,Partial - Significant Distance
I01-11195-2,NA,NA
M01-050-7,2022-07-26,None - Flow Infiltrates or Outfall is Dry
M01-050-7,2022-09-15,Direct Connection
J03-9216-5,2022-08-04,Partial - Significant Distance
L01-399-1,NA,NA
L01-399-2,NA,NA
LC01-11480-1,NA,NA
SC11-035-3d,2022-07-12,None - Flow Infiltrates or Outfall is Dry
SC11-035-3d,2022-09-23,None - Flow Infiltrates or Outfall is Dry
L01-242-1 (L07P16),2022-08-08,Direct Connection
L01-242-1 (L07P16),2022-09-19,Direct Connection
I01-11503-5,2022-06-28,Direct Connection
I01-11503-5,2022-09-14,Direct Connection
L01-733-7,2022-09-19,Direct Connection
L01-733-7,2022-09-26,Direct Connection
